officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
VITA-119817,VITA,VITA Zahnfabrik H. Rauter GmbH & Co. KG,AKZENT LC,,,1,VITA / Characterization / Composite-stains,https://www.vita-zahnfabrik.com/portal/sap/medien/b/bb5/bb5b52/Buehne_AKZENT-LC.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,"https://www.vita-zahnfabrik.com/en/Characterization/Composite-stains/VITA-AKZENT-LC-119817,27568.html"
VITA-24670,VITA,VITA Zahnfabrik H. Rauter GmbH & Co. KG,AKZENT Plus,,,1,VITA / Characterization / Ceramic-stains,https://www.vita-zahnfabrik.com/portal/sap/medien/b/bb3/bb3b56/Buehne_Akzent-Plus_Aufsicht.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,"https://www.vita-zahnfabrik.com/en/Characterization/Ceramic-stains/VITA-AKZENT-Plus-24670,27568.html"
VITA-132674,VITA,VITA Zahnfabrik H. Rauter GmbH & Co. KG,Aufbewahrung,,,1,VITA / CAD / CAM-fabrication / Accessories,https://www.vita-zahnfabrik.com/portal/sap/medien/k/kk2/kk2k30/Buehne_Zubehoer_Modulbox.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,"https://www.vita-zahnfabrik.com/en/CAD/CAM-fabrication/Accessories/VITA-Modulbox-132674,27568.html"
VITA-132579,VITA,VITA Zahnfabrik H. Rauter GmbH & Co. KG,Aufbewahrung,,,1,VITA / Veneering / Accessories,https://www.vita-zahnfabrik.com/portal/sap/medien/k/kk2/kk2k30/Buehne_Zubehoer_Modulbox.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,"https://www.vita-zahnfabrik.com/en/Veneering/Accessories/VITA-Modulbox-132579,27568.html"
VITA-38740,VITA,VITA Zahnfabrik H. Rauter GmbH & Co. KG,CAD-Temp IS,,,1,VITA / CAD / CAM-fabrication / Implant-supported-restorations,https://www.vita-zahnfabrik.com/portal/sap/medien/c/cc3/cc3c49/cc3c49c305/Buehne_CAD_Temp-IS.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,"https://www.vita-zahnfabrik.com/en/CAD/CAM-fabrication/Implant-supported-restorations/VITA-CAD-Temp-IS-38740,27568.html"
VITA-25300,VITA,VITA Zahnfabrik H. Rauter GmbH & Co. KG,CAD-Temp monoColor,,,1,VITA / CAD / CAM-fabrication / Temporary-restoration / aids,https://www.vita-zahnfabrik.com/portal/sap/medien/c/cc3/cc3c49/CAD-Temp_mono_640x324_screen_web.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,"https://www.vita-zahnfabrik.com/en/CAD/CAM-fabrication/Temporary-restoration/aids/VITA-CAD-Temp-monoColor-25300,27568.html"
VITA-25330,VITA,VITA Zahnfabrik H. Rauter GmbH & Co. KG,CAD-Temp multiColor,,,1,VITA / CAD / CAM-fabrication / Temporary-restoration / aids,https://www.vita-zahnfabrik.com/portal/sap/medien/c/cc3/cc3c50/Buehne_CAD_Temp_multi_mono_Color_screen_web.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,"https://www.vita-zahnfabrik.com/en/CAD/CAM-fabrication/Temporary-restoration/aids/VITA-CAD-Temp-multiColor-25330,27568.html"
VITA-24970,VITA,VITA Zahnfabrik H. Rauter GmbH & Co. KG,ENAMIC,,,1,VITA / CAD / CAM-fabrication / Single-tooth-restoration,https://www.vita-zahnfabrik.com/portal/sap/medien/c/cc0/cc0c01/Buehne_ENAMIC.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,"https://www.vita-zahnfabrik.com/en/CAD/CAM-fabrication/Single-tooth-restoration/VITA-ENAMIC-24970,27568.html"
VITA-38678,VITA,VITA Zahnfabrik H. Rauter GmbH & Co. KG,ENAMIC IS,,,1,VITA / CAD / CAM-fabrication / Implant-supported-restorations,https://www.vita-zahnfabrik.com/portal/sap/medien/c/cc0/cc0c01/cc0c01c009/Buehne_ENAMIC-IS.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,"https://www.vita-zahnfabrik.com/en/CAD/CAM-fabrication/Implant-supported-restorations/VITA-ENAMIC-IS-38678,27568.html"
VITA-55319,VITA,VITA Zahnfabrik H. Rauter GmbH & Co. KG,ENAMIC multiColor,,,1,VITA / CAD / CAM-fabrication / Single-tooth-restoration,https://www.vita-zahnfabrik.com/portal/sap/medien/c/cc0/cc0c02/Buehne_ENAMIC_multiColor.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,"https://www.vita-zahnfabrik.com/en/CAD/CAM-fabrication/Single-tooth-restoration/VITA-ENAMIC-multiColor-55319,27568.html"
