localId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variants,variantCount,categoryPath,description,imageUrls,imageCount,registrationDocument,kzEvidence,status,reviewReasons,sourcePageUrl
aksil-lc-zashchitnyy-lak-sv-otv-vladmiva-,ВладМиВа,АО «ОЭЗ «ВладМиВа»,АКСИЛ LC/5мл,00000000003,00000000003,,1,Стоматология > Стоматологические материалы > Вспомогательные,Материал для защиты от воздействия слюны в процессе твердения пломб «Аксил» по ТУ 9391-040-45814830-2001,https://www.vladmiva.ru/upload/iblock/c2b/59lyoj0jzd33gybw4dkoh59npbl7sw5h.jpg,1,https://www.vladmiva.ru/DocumentsReg/%D0%90%D0%BA%D1%81%D0%B8%D0%BB-%20%20%D0%BC%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%B0%D0%BB-%20%D0%A0%D0%A32010-08615%D0%BE%D1%8229.08.18.pdf,BRAND_PRESENT_IN_KZ_CATALOG,OFFICIAL_DENTAL_PRODUCT_IDENTITY_READY,,https://www.vladmiva.ru/products/vspomogatelnye/aksil-lc-zashchitnyy-lak-sv-otv-vladmiva-/
aksil-zashchitnaya-pasta-5g-vladmiva-,ВладМиВа,АО «ОЭЗ «ВладМиВа»,АКСИЛ/ 5г,00000000002,00000000002,,1,Стоматология > Стоматологические материалы > Вспомогательные,Материал для защиты от воздействия слюны в процессе твердения пломб «Аксил» по ТУ 9391-040-45814830-2001,https://www.vladmiva.ru/upload/iblock/68e/glf73q11xylf8mjnahvfxbp27om08mzd.jpg,1,https://www.vladmiva.ru/DocumentsReg/%D0%90%D0%BA%D1%81%D0%B8%D0%BB-%20%20%D0%BC%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%B0%D0%BB-%20%D0%A0%D0%A32010-08615%D0%BE%D1%8229.08.18.pdf,BRAND_PRESENT_IN_KZ_CATALOG,OFFICIAL_DENTAL_PRODUCT_IDENTITY_READY,,https://www.vladmiva.ru/products/vspomogatelnye/aksil-zashchitnaya-pasta-5g-vladmiva-/
angidrin-d-sushki-i-obezzhir-tv-tkaney-zuba-100ml-v,ВладМиВа,АО «ОЭЗ «ВладМиВа»,АНГИДРИН,00000025850,00000025850 | 00000000006 | 00000050714,100 мл=00000025850 | 20 мл=00000000006 | 30 мл=00000050714,3,Стоматология > Стоматологические материалы > Вспомогательные,Жидкость для обезжиривания и высушивания твердых тканей зуба «Ангидрин» по ТУ 9391-035-45814830-2000,https://www.vladmiva.ru/upload/iblock/116/dv4jsu0sh30euzr8v9wo6m2jblsonva3.jpg | https://www.vladmiva.ru/upload/iblock/553/hw0xqvl3y9zwrrp02ro8lze070e1wfsl.jpg | https://www.vladmiva.ru/upload/iblock/e84/e03v70osqxj7q3z3a43muvlvb3gd3o4d.jpg,3,,BRAND_PRESENT_IN_KZ_CATALOG,OFFICIAL_DENTAL_PRODUCT_IDENTITY_READY,,https://www.vladmiva.ru/products/vspomogatelnye/angidrin-d-sushki-i-obezzhir-tv-tkaney-zuba-100ml-v/
adgeziv-belabond-sv-otv-1-no-komponen-samoprotra,ВладМиВа,АО «ОЭЗ «ВладМиВа»,БЕЛАБОНД/однокомпонентный светоотверждаемый самопротравливающий адгезив/5мл,00000013233,00000013233,,1,Стоматология > Стоматологические материалы > Вспомогательные,Адгезив стоматологический для свето и химически отверждаемых композиционных материалов «Белабонд» по ТУ 9391-055-45814830-2002,https://www.vladmiva.ru/upload/iblock/84e/wpoze481xena7xt5khb5zs42rwmf0cen.jpg,1,,BRAND_PRESENT_IN_KZ_CATALOG,OFFICIAL_DENTAL_PRODUCT_IDENTITY_READY,,https://www.vladmiva.ru/products/vspomogatelnye/adgeziv-belabond-sv-otv-1-no-komponen-samoprotra/
adgeziv-belabond-5-ml-univers-adgeziv-sv-otv-vladmiva,ВладМиВа,АО «ОЭЗ «ВладМиВа»,БЕЛАБОНД/однокомпонентный светоотверждаемый/5мл,00000001318,00000001318,,1,Стоматология > Стоматологические материалы > Вспомогательные,Адгезив стоматологический для свето и химически отверждаемых композиционных материалов «Белабонд» по ТУ 9391-055-45814830-2002,https://www.vladmiva.ru/upload/iblock/684/r6omz3ok0ij0m1ty5xaxj63a0oz64lk7.jpg,1,,BRAND_PRESENT_IN_KZ_CATALOG,OFFICIAL_DENTAL_PRODUCT_IDENTITY_READY,,https://www.vladmiva.ru/products/vspomogatelnye/adgeziv-belabond-5-ml-univers-adgeziv-sv-otv-vladmiva/
adgeziv-belabond-sv-otv-2-kh-komponen-,ВладМиВа,АО «ОЭЗ «ВладМиВа»,БЕЛАБОНД/светового отверждения (2-х компонентный)/5мл + 5мл + 5мл,00000013231,00000013231,,1,Стоматология > Стоматологические материалы > Вспомогательные,Адгезив стоматологический для свето и химически отверждаемых композиционных материалов «Белабонд» по ТУ 9391-055-45814830-2002,https://www.vladmiva.ru/upload/iblock/213/u1u6gfrbqlgyuai9zr4hr2me1mrrdccj.jpg,1,,BRAND_PRESENT_IN_KZ_CATALOG,OFFICIAL_DENTAL_PRODUCT_IDENTITY_READY,,https://www.vladmiva.ru/products/vspomogatelnye/adgeziv-belabond-sv-otv-2-kh-komponen-/
adgeziv-belabond-univers-adgeziv-khim-otv-vladmiva,ВладМиВа,АО «ОЭЗ «ВладМиВа»,БЕЛАБОНД/химического отверждения/5мл + 5мл + 5мл,00000001729,00000001729,,1,Стоматология > Стоматологические материалы > Вспомогательные,Адгезив стоматологический для свето и химически отверждаемых композиционных материалов «Белабонд» по ТУ 9391-055-45814830-2002,https://www.vladmiva.ru/upload/iblock/f3c/6gpx064fxss43zyppsrpq1fpl20t7176.jpg,1,,BRAND_PRESENT_IN_KZ_CATALOG,OFFICIAL_DENTAL_PRODUCT_IDENTITY_READY,,https://www.vladmiva.ru/products/vspomogatelnye/adgeziv-belabond-univers-adgeziv-khim-otv-vladmiva/
belolit-s-125ml-vladmiva_1,ВладМиВа,АО «ОЭЗ «ВладМиВа»,БЕЛОЛИТ - С/125 мл,00000009396,00000009396,,1,Стоматология > Стоматологические материалы > Вспомогательные,ЛАК ДЛЯ ЛИТЕЙНЫХ РАБОТ,https://www.vladmiva.ru/upload/iblock/54a/eljkhcl9z5cv2xtk3lp1kto2ciwma2be.png,1,,BRAND_PRESENT_IN_KZ_CATALOG,OFFICIAL_DENTAL_PRODUCT_IDENTITY_READY,,https://www.vladmiva.ru/products/vspomogatelnye/belolit-s-125ml-vladmiva_1/
gel-dlya-travleniya-dentina-vladmiva-5-ml,ВладМиВа,АО «ОЭЗ «ВладМиВа»,ГЕЛЬ для травления дентина/5мл,00000000024,00000000024,,1,Стоматология > Стоматологические материалы > Вспомогательные,Набор гелей для травления твердых тканей зуба «ВладМиВа» по ТУ 9391-034-45814830-2000,https://www.vladmiva.ru/upload/iblock/031/mamhtyj8wrwr7mplqa34hfjreoqufa8y.jpg,1,,BRAND_PRESENT_IN_KZ_CATALOG,OFFICIAL_DENTAL_PRODUCT_IDENTITY_READY,,https://www.vladmiva.ru/products/vspomogatelnye/gel-dlya-travleniya-dentina-vladmiva-5-ml/
gel-dlya-travleniya-emali-100ml-vladmiva-_1,ВладМиВа,АО «ОЭЗ «ВладМиВа»,ГЕЛЬ для травления эмали,00000012187,00000012187 | 00000007342 | 00000000025,100 мл=00000012187 | 20 мл=00000007342 | 5 мл=00000000025,3,Стоматология > Стоматологические материалы > Вспомогательные,Гель для травления эмали 100мл/ ВладМиВа / Форма выпуска 100 мл 20 мл 5 мл Купить в интернет-магазине,https://www.vladmiva.ru/upload/iblock/70d/mdbuz7mro9ciirw8oqk1t13wazw3eziz.jpg | https://www.vladmiva.ru/upload/iblock/ac1/ivdlaqikaupol7bv8d3bsdiq6sip5aw3.jpg,2,,BRAND_PRESENT_IN_KZ_CATALOG,OFFICIAL_DENTAL_PRODUCT_IDENTITY_READY,,https://www.vladmiva.ru/products/vspomogatelnye/gel-dlya-travleniya-emali-100ml-vladmiva-_1/
