officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
VOCO-AC-ACTIVATOR,VOCO,VOCO GmbH,AC Activator,9300,9300,1,VOCO / various-products / small-devices,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/ac-activator_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.voco.dental/en/products/various-products/small-devices/ac-activator.aspx
VOCO-AC-APPLICATOR-TYPE-1,VOCO,VOCO GmbH,AC Applicator type 1,2331,2331,1,VOCO / various-products / small-devices,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/ac-applicator-type-1_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.voco.dental/en/products/various-products/small-devices/ac-applicator-type-1.aspx
VOCO-AC-APPLICATOR-TYPE-2,VOCO,VOCO GmbH,AC Applicator type 2,2334,2334,1,VOCO / various-products / small-devices,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/ac-applicator-type-2_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.voco.dental/en/products/various-products/small-devices/ac-applicator-type-2.aspx
VOCO-ADMIRA,VOCO,VOCO GmbH,Admira,2420,2420 | 2419,2,VOCO / direct-restoration / ormocer,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/admira_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.voco.dental/en/products/direct-restoration/ormocer/admira.aspx
VOCO-ADMIRA-BOND,VOCO,VOCO GmbH,Admira Bond,2432,2432 | 2479,2,VOCO / direct-restoration / ormocer,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/admira-bond_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.voco.dental/en/products/direct-restoration/ormocer/admira-bond.aspx
VOCO-ADMIRA-FLOW,VOCO,VOCO GmbH,Admira Flow,2144,2144,1,VOCO / direct-restoration / ormocer,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/admira-flow_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.voco.dental/en/products/direct-restoration/ormocer/admira-flow.aspx
VOCO-ADMIRA-FUSION,VOCO,VOCO GmbH,Admira Fusion,2750,2750 | 2778 | 2780 | 2752,4,VOCO / direct-restoration / composites,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/admira-fusion_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.voco.dental/en/products/direct-restoration/composites/admira-fusion.aspx
VOCO-ADMIRA-FUSION-5,VOCO,VOCO GmbH,Admira Fusion 5,6243,6243 | 6225 | 6235,3,VOCO / direct-restoration / composites,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/celalux-3_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.voco.dental/en/products/direct-restoration/composites/admira-fusion-5.aspx
VOCO-ADMIRA-FUSION-FLOW,VOCO,VOCO GmbH,Admira Fusion Flow,2816,2816 | 2146,2,VOCO / direct-restoration / composites,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/admira-fusion-flow_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.voco.dental/en/products/direct-restoration/composites/admira-fusion-flow.aspx
VOCO-ADMIRA-FUSION-X-BASE,VOCO,VOCO GmbH,Admira Fusion x-base,2812,2812 | 2148,2,VOCO / direct-restoration / composites,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/admira-fusion-x-base_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.voco.dental/en/products/direct-restoration/composites/admira-fusion-x-base.aspx
