officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
VRN-154,VRN,"Guilin Veirun Medical Technology Co., Ltd.",DA-1,DA-1,DA-1,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/01-21/fg3mwcbtjhexrcdt.png?REEtMS5wbmc=,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/154
VRN-146,VRN,"Guilin Veirun Medical Technology Co., Ltd.",DA-10,DA-10,DA-10,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/01-21/tibkibfxxspth2sb.png?REEtMTAucG5n,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/146
VRN-145,VRN,"Guilin Veirun Medical Technology Co., Ltd.",DA-20,DA-20,DA-20,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/01-21/mv4vczhtxftvyju2.png?REEtMjAucG5n,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/145
VRN-929,VRN,"Guilin Veirun Medical Technology Co., Ltd.",DK-100,DK-100,DK-100,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/05-08/u7kcmcanbjlw5ij3.jpg?V2VpeGluIEltYWdlXzIwMjUwNTA4MTUwNzI3LmpwZw==,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/929
VRN-147,VRN,"Guilin Veirun Medical Technology Co., Ltd.",DP-10,DP-10,DP-10,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/06-20/x2lawgz5y22ccbnb.jpg?RFAtMTAuanBn,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/147
VRN-932,VRN,"Guilin Veirun Medical Technology Co., Ltd.",DP-60,DP-60,DP-60,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/04-02/zvpaaizzjn7xxm12.jpg?V2VpeGluIEltYWdlXzIwMjUwNDAyMTY1NTU3LmpwZw==,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/932
VRN-37,VRN,"Guilin Veirun Medical Technology Co., Ltd.",DQ-40,DQ-40,DQ-40,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/08-12/b6r2mqzxnul4a9t5.png?RFE0MC5wbmc=,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/37
VRN-38,VRN,"Guilin Veirun Medical Technology Co., Ltd.",DQ-80,DQ-80,DQ-80,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/08-12/esqqs9gqk6vjev99.png?ZHE4MC5wbmc=,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/38
VRN-140,VRN,"Guilin Veirun Medical Technology Co., Ltd.",DS-100,DS-100,DS-100,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/01-21/q5byexlb3kdaxnmg.png?RFMtMTAwLnBuZw==,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/140
VRN-30,VRN,"Guilin Veirun Medical Technology Co., Ltd.",DV-50,DV-50,DV-50,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/01-17/sfmdezq9c4xy1stc.png?RFYtNTAucG5n,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/30
VRN-931,VRN,"Guilin Veirun Medical Technology Co., Ltd.",DV-60,DV-60,DV-60,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/04-02/raxwlymcpwbvhvxz.jpg?V2VpeGluIEltYWdlXzIwMjUwNDAyMTY1ODU1LmpwZw==,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/931
VRN-141,VRN,"Guilin Veirun Medical Technology Co., Ltd.",DZ-100,DZ-100,DZ-100,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/09-23/mzhzgsylspww8s9n.jpg?6Iux5paHLeeZveW6leWbvi5qcGc=,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/141
VRN-1109,VRN,"Guilin Veirun Medical Technology Co., Ltd.",EQ Series Sensors,EQ Series Sensors,EQ Series Sensors,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/09-23/ugd5dwqkdutariwq.jpg?RVHkvKDmhJ/lmaguanBn,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/1109
VRN-143,VRN,"Guilin Veirun Medical Technology Co., Ltd.",EQ-600,EQ-600,EQ-600,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/01-21/fmvcyrfrf4fxvvwx.png?RVEtNjAwLnBuZw==,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/143
VRN-142,VRN,"Guilin Veirun Medical Technology Co., Ltd.",ES-20,ES-20,ES-20,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/05-08/s2egbf9sgc4egmzd.jpg?V2VpeGluIEltYWdlXzIwMjUwNTA4MTUxMzAzLmpwZw==,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/142
VRN-944,VRN,"Guilin Veirun Medical Technology Co., Ltd.",Handpiece,Handpiece,Handpiece,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/04-16/43clzkwstuhxkdqu.jpg?V2VpeGluIEltYWdlXzIwMjUwNDE2MTcxOTM0LmpwZw==,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/944
VRN-161,VRN,"Guilin Veirun Medical Technology Co., Ltd.",Prophylaxis Powder,Prophylaxis Powder,Prophylaxis Powder,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/05-08/hbmzkmyhwy1jsjbf.jpg?V2VpeGluIEltYWdlXzIwMjUwNTA4MTUwNDQ3LmpwZw==,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/161
VRN-928,VRN,"Guilin Veirun Medical Technology Co., Ltd.",SUPER05,SUPER05,SUPER05,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/04-02/kj3manrxqen1qsbb.jpg?V2VpeGluIEltYWdlXzIwMjUwNDAyMTY1NzQzMi5qcGc=,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/928
VRN-1105,VRN,"Guilin Veirun Medical Technology Co., Ltd.",T-3 Dental Utility Cart,T-3 Dental Utility Cart,T-3 Dental Utility Cart,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/08-18/s7z96tkkp35tjavx.jpg?55m95bqV5Zu+LeWNlS5qcGc=,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/1105
VRN-157,VRN,"Guilin Veirun Medical Technology Co., Ltd.",T100-K,T100-K,T100-K,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/01-21/expivjguxtfuhiis.png?VDEwMC1LLnBuZw==,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/157
VRN-374,VRN,"Guilin Veirun Medical Technology Co., Ltd.",T100-KT,T100-KT,T100-KT,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/02-20/ysej4a57kvglnxjj.png?VDEwMC1LVC5wbmc=,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/374
VRN-158,VRN,"Guilin Veirun Medical Technology Co., Ltd.",T100-P,T100-P,T100-P,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/01-21/qjkgmzzgx9lmrm2s.png?VDEwMC1QLnBuZw==,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/158
VRN-375,VRN,"Guilin Veirun Medical Technology Co., Ltd.",T100-PC,T100-PC,T100-PC,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/02-20/p4sgqqbaajamybta.png?VDEwMC1QQy5wbmc=,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/375
VRN-376,VRN,"Guilin Veirun Medical Technology Co., Ltd.",T100-PT,T100-PT,T100-PT,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/02-20/5erptksnxmxwrruz.png?VDEwMC1QVC5wbmc=,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/376
VRN-159,VRN,"Guilin Veirun Medical Technology Co., Ltd.",T200-K,T200-K,T200-K,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/01-21/vwwnzk3azr1fe94k.png?VDIwMC1LLnBuZw==,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/159
VRN-377,VRN,"Guilin Veirun Medical Technology Co., Ltd.",T200-P,T200-P,T200-P,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/02-20/lizumxfuqj6fxb9g.png?VDIwMC1QLnBuZw==,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/377
VRN-160,VRN,"Guilin Veirun Medical Technology Co., Ltd.",T200-PT,T200-PT,T200-PT,1,VRN / Dental equipment and accessories,https://www.veirun.com/uploadfiles/web/2025/01-21/rlgytpsqlcx6nvuv.png?VDIwMC1QVC5wbmc=,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_MODEL_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.veirun.com/ProductsCenter/info/160
