officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
WH-ALEGRA,W&H,W&H Dentalwerk Bürmoos GmbH,Alegra Straight and Contra-angle Handpieces,30116000,30116000 | 30117000 | 30118000 | 30119000 | 10259900 | 10255600 | 10256600 | 30120000 | 30121000 | 30122000 | 30123000,11,W&H / Dental products,https://a.storyblok.com/f/45617/962x865/aec955fa87/wh-systemoverview-restauration-primea-20260722.jpg,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.wh.com/en_global/dental-products/restoration-prosthetics/handpieces/alegra
WH-ALEGRA,W&H,W&H Dentalwerk Bürmoos GmbH,Alegra Turbine handpieces,30068000,30068000 | 30069000 | 30070000 | 30071000 | 30072000 | 30073000 | 30074000 | 30075000 | 30066000 | 30067000 | 10405300 | 10405400,12,W&H / Dental products,https://a.storyblok.com/f/45617/962x865/aec955fa87/wh-systemoverview-restauration-primea-20260722.jpg,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.wh.com/en_global/dental-products/restoration-prosthetics/turbines/alegra
WH-ASSISTINA-ONE,W&H,W&H Dentalwerk Bürmoos GmbH,Assistina One with Quick Connect by W&H,30398001,30398001 | 30398002 | 30398003 | 08064970,4,W&H / Dental products,https://a.storyblok.com/f/45617/962x1285/45e5180edb/202503_wh-systemoverview-sterilization-int.jpg,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.wh.com/en_global/dental-products/sterilization-hygienic-maintenance/reprocessing-devices/assistina-one
WH-ASSISTINA-TWIN,W&H,W&H Dentalwerk Bürmoos GmbH,Assistina Twin with Quick Connect by W&H,30310000,30310000 | 30310001 | 30310002 | 30310003,4,W&H / Dental products,https://a.storyblok.com/f/45617/962x1285/45e5180edb/202503_wh-systemoverview-sterilization-int.jpg,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.wh.com/en_global/dental-products/sterilization-hygienic-maintenance/reprocessing-devices/assistina-twin
WH-BEPRO,W&H,W&H Dentalwerk Bürmoos GmbH,BePro – Professional Protection,19500100,19500100 | 19500101 | 19500102 | 19500103 | 19500104 | 19500106 | 19500300 | 19500107 | 19500108 | 19500200 | 19500204 | 19500201 | 19500202 | 19500206 | 19500205 | 19500254 | 19500253 | 19500250 | 19500105 | 19500251 | 19500252,21,W&H / Dental products,,0,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://www.wh.com/en_global/dental-products/sterilization-hygienic-maintenance/cleaning-disinfection-agents/bepro
WH-EM-11L,W&H,W&H Dentalwerk Bürmoos GmbH,Electric motor EM-11 L,90000392,90000392 | 90000393,2,W&H / Dental products,https://a.storyblok.com/f/45617/962x865/aec955fa87/wh-systemoverview-restauration-primea-20260722.jpg,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.wh.com/en_global/dental-products/restoration-prosthetics/electric-motor/em-11l
WH-EM-12L,W&H,W&H Dentalwerk Bürmoos GmbH,Electric motor EM-12 L,30241000,30241000 | 30178000 | 90000138 | 90000245 | 90000224 | 90000139,6,W&H / Dental products,https://a.storyblok.com/f/45617/962x865/aec955fa87/wh-systemoverview-restauration-primea-20260722.jpg,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.wh.com/en_global/dental-products/restoration-prosthetics/electric-motor/em-12l
WH-ELIREEL,W&H,W&H Dentalwerk Bürmoos GmbH,EliReel,19500000,19500000 | 19500001 | 19500002 | 19500003 | 19500004 | 19500005 | 19500006 | T802100X,8,W&H / Dental products,https://a.storyblok.com/f/45617/962x1285/45e5180edb/202503_wh-systemoverview-sterilization-int.jpg,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.wh.com/en_global/dental-products/sterilization-hygienic-maintenance/accessories/elireel
WH-ELISAFE,W&H,W&H Dentalwerk Bürmoos GmbH,EliSafe label printer,19721109,19721109 | 19721123 | 19721132,3,W&H / Dental products,https://a.storyblok.com/f/45617/962x1285/45e5180edb/202503_wh-systemoverview-sterilization-int.jpg,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.wh.com/en_global/dental-products/sterilization-hygienic-maintenance/accessories/elisafe
WH-E-LOG,W&H,W&H Dentalwerk Bürmoos GmbH,eLog,,,1,W&H / Dental products,,0,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://www.wh.com/en_global/dental-products/sterilization-hygienic-maintenance/routine-tests/e-log
WH-ENDEA,W&H,W&H Dentalwerk Bürmoos GmbH,Endea,12227501,12227501 | 12227901,2,W&H / Dental products,https://a.storyblok.com/f/45617/962x599/9fb4884021/systemoverview-endodontics-06022024.png,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.wh.com/en_global/dental-products/endodontics/handpieces/endea
WH-HELIX-TEST,W&H,W&H Dentalwerk Bürmoos GmbH,Helix test,T800206X,T800206X | T800207X,2,W&H / Dental products,,0,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://www.wh.com/en_global/dental-products/sterilization-hygienic-maintenance/routine-tests/helix-test
WH-IMPLANTMED,W&H,W&H Dentalwerk Bürmoos GmbH,Implantmed Plus & Classic,30288000,30288000 | 30289000 | 30290001 | 30281000 | 30185000 | 30264000 | 30285000 | Beacon | SmartPegs | 90000161 | 30287000,11,W&H / Dental products,https://a.storyblok.com/f/45617/963x865/61bdd8682f/oralsurgery_systemoverview-202601.png,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.wh.com/en_global/dental-products/oralsurgery-implantology/surgical-devices/implantmed
WH-IMPLANTMED-2,W&H,W&H Dentalwerk Bürmoos GmbH,Implantmed Plus II,,,1,W&H / Dental products,https://a.storyblok.com/f/45617/963x865/61bdd8682f/oralsurgery_systemoverview-202601.png,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.wh.com/en_global/dental-products/oralsurgery-implantology/surgical-devices/implantmed-2
WH-LARA-AUTOCLAVE,W&H,W&H Dentalwerk Bürmoos GmbH,Lara sterilizer,19941120,19941120 | 19942120,2,W&H / Dental products,https://a.storyblok.com/f/45617/962x1285/45e5180edb/202503_wh-systemoverview-sterilization-int.jpg,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.wh.com/en_global/dental-products/sterilization-hygienic-maintenance/sterilizers/lara-autoclave
WH-LARA-XL,W&H,W&H Dentalwerk Bürmoos GmbH,Lara XL sterilizer,19933110,19933110,1,W&H / Dental products,https://a.storyblok.com/f/45617/962x1285/45e5180edb/202503_wh-systemoverview-sterilization-int.jpg,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.wh.com/en_global/dental-products/sterilization-hygienic-maintenance/sterilizers/lara-xl
WH-LARA-XXL,W&H,W&H Dentalwerk Bürmoos GmbH,"Lara XXL – maximum capacity, minimum dimensions",19936110,19936110,1,W&H / Dental products,https://a.storyblok.com/f/45617/962x1285/45e5180edb/202503_wh-systemoverview-sterilization-int.jpg,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.wh.com/en_global/dental-products/sterilization-hygienic-maintenance/sterilizers/lara-xxl
WH-LEXA,W&H,W&H Dentalwerk Bürmoos GmbH,Lexa sterilizer,19943401,19943401 | 19943101,2,W&H / Dental products,,0,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://www.wh.com/en_global/dental-products/sterilization-hygienic-maintenance/sterilizers/lexa
WH-LINA-AUTOCLAVE,W&H,W&H Dentalwerk Bürmoos GmbH,Lina sterilizer,19951130,19951130 | 19951131 | 19952130 | 19952131 | 19952330 | 19952331 | 19951230 | 19951231 | 19952230 | 19952231,10,W&H / Dental products,https://a.storyblok.com/f/45617/962x1285/45e5180edb/202503_wh-systemoverview-sterilization-int.jpg,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.wh.com/en_global/dental-products/sterilization-hygienic-maintenance/sterilizers/lina-autoclave
WH-LISA-MINI,W&H,W&H Dentalwerk Bürmoos GmbH,Lisa Mini – the fast and small type B sterilizer,19944100,19944100 | 19944200 | 19945100 | 19935100,4,W&H / Dental products,https://a.storyblok.com/f/45617/962x1285/45e5180edb/202503_wh-systemoverview-sterilization-int.jpg,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.wh.com/en_global/dental-products/sterilization-hygienic-maintenance/sterilizers/lisa-mini
WH-LISA-AUTOCLAVE,W&H,W&H Dentalwerk Bürmoos GmbH,Lisa sterilizer,19931180,19931180 | 19932180,2,W&H / Dental products,https://a.storyblok.com/f/45617/962x1285/45e5180edb/202503_wh-systemoverview-sterilization-int.jpg,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.wh.com/en_global/dental-products/sterilization-hygienic-maintenance/sterilizers/lisa-autoclave
