officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
WOODPECKER-411,Woodpecker,"Guilin Woodpecker Medical Instrument Co., Ltd.",812 MT,,,1,Woodpecker / Category 142,https://zmngw.oss-cn-shenzhen.aliyuncs.com/uploads/20260616/7adcdd75c4eead4dcc6a3b3060e8f6a4.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.glwoodpecker.com/pcproduct?id=411
WOODPECKER-481,Woodpecker,"Guilin Woodpecker Medical Instrument Co., Ltd.",ABC,,,1,Woodpecker / Category 191,https://zmngw.oss-cn-shenzhen.aliyuncs.com/uploads/20260610/b395be048f87a44354fdf0929f69f353.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.glwoodpecker.com/pcproduct?id=481
WOODPECKER-513,Woodpecker,"Guilin Woodpecker Medical Instrument Co., Ltd.",Access Cavity Kit,,,1,Woodpecker / Category 171,https://zmngw.oss-cn-shenzhen.aliyuncs.com/uploads/20251030/7c271bec2e769904249dcd57f040ea2c.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.glwoodpecker.com/pcproduct?id=513
WOODPECKER-380,Woodpecker,"Guilin Woodpecker Medical Instrument Co., Ltd.",Ai Ray,,,1,Woodpecker / Category 137,https://zmngw.oss-cn-shenzhen.aliyuncs.com/uploads/20260610/f4cc7b06c7eece35018d831be66f18a4.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.glwoodpecker.com/pcproduct?id=380
WOODPECKER-502,Woodpecker,"Guilin Woodpecker Medical Instrument Co., Ltd.",Ai Ray Pro,,,1,Woodpecker / Category 137,https://zmngw.oss-cn-shenzhen.aliyuncs.com/uploads/20260610/6531b3cb063bd8777f36953e87ee3b56.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.glwoodpecker.com/pcproduct?id=502
WOODPECKER-320,Woodpecker,"Guilin Woodpecker Medical Instrument Co., Ltd.",Ai-Motor,,,1,Woodpecker / Category 142,https://zmngw.oss-cn-shenzhen.aliyuncs.com/uploads/20260610/e0c9a8beca6fcd9cac67c06b3df52e6a.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.glwoodpecker.com/pcproduct?id=320
WOODPECKER-232,Woodpecker,"Guilin Woodpecker Medical Instrument Co., Ltd.",Ai-Motor(T-mode),,,1,Woodpecker / Category 142,https://zmngw.oss-cn-shenzhen.aliyuncs.com/uploads/20260610/6bd51688f98271c94d61cc34df0b0860.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.glwoodpecker.com/pcproduct?id=232
WOODPECKER-205,Woodpecker,"Guilin Woodpecker Medical Instrument Co., Ltd.",Ai-Pex,,,1,Woodpecker / Category 144,https://zmngw.oss-cn-shenzhen.aliyuncs.com/uploads/20260616/c8c9da7797516c00cdb38d849deffbda.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.glwoodpecker.com/pcproduct?id=205
WOODPECKER-458,Woodpecker,"Guilin Woodpecker Medical Instrument Co., Ltd.",Ai-surgery,,,1,Woodpecker / Category 139,https://zmngw.oss-cn-shenzhen.aliyuncs.com/uploads/20260610/56f603dbcc506bf1a1f765b5e1ba7ee9.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.glwoodpecker.com/pcproduct?id=458
WOODPECKER-489,Woodpecker,"Guilin Woodpecker Medical Instrument Co., Ltd.",Altaqi Kit,,,1,Woodpecker / Category 171,https://zmngw.oss-cn-shenzhen.aliyuncs.com/uploads/20260610/c774aeb55e9cfe6cda64e0075e83fe8c.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.glwoodpecker.com/pcproduct?id=489
