officialProductId,brand,manufacturer,name,categoryPath,manufacturerRef,imageUrls,imageCount,kzEvidence,status,sourcePageUrl
3615217,ZT Dental,ZT Dental,SECTIONAL MATRIX SYSTEM A4,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57047845.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57047846.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57047847.jpg,3,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3615217.html
3615316,ZT Dental,ZT Dental,SECTIONAL MATRIX SYSTEM A2,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57048200.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57048201.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57048202.jpg,3,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3615316.html
3615403,ZT Dental,ZT Dental,SECTIONAL MATRIX SYSTEM A3,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57048433.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57048452.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3615403.html
3615459,ZT Dental,ZT Dental,SECTIONAL MATRIX SYSTEM B3 for paediatric dentistry,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57048564.png | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57048566.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3615459.html
3615651,ZT Dental,ZT Dental,SECTIONAL MATRIX SYSTEM B4,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57048961.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57048963.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3615651.html
3616091,ZT Dental,ZT Dental,SECTIONAL MATRIX SYSTEM C2,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57050535.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57050536.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3616091.html
3616158,ZT Dental,ZT Dental,SECTIONAL MATRIX SYSTEM D3,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57050702.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57050700.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3616158.html
3616716,ZT Dental,ZT Dental,SECTIONAL MATRIX SYSTEM G2,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57052300.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57052301.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3616716.html
3616775,ZT Dental,ZT Dental,SECTIONAL MATRIX SYSTEM F1,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57052497.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57052498.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3616775.html
3616814,ZT Dental,ZT Dental,SECTIONAL MATRIX SYSTEM F3,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57052590.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57052593.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3616814.html
3620311,ZT Dental,ZT Dental,SECTIONAL MATRIX SYSTEM H1,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57071638.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57071639.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3620311.html
3620424,ZT Dental,ZT Dental,SECTIONAL MATRIX BANDS M2,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57072667.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57075993.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3620424.html
3620539,ZT Dental,ZT Dental,SECTIONAL MATRIX BANDS M10 1.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57072518.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57075917.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3620539.html
3620870,ZT Dental,ZT Dental,SECTIONAL MATRIX BANDS M4 1.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57076493.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57076069.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3620870.html
3620885,ZT Dental,ZT Dental,SECTIONAL MATRIX BANDS M4 2.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57076636.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57076638.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3620885.html
3620955,ZT Dental,ZT Dental,RETAINER AND MATRIX M5 2.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57077093.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57077094.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57077095.jpg,3,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3620955.html
3620997,ZT Dental,ZT Dental,STEEL MATRIX M6 1.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57077481.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57077482.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3620997.html
3621024,ZT Dental,ZT Dental,MATRIX BANDS M7 1.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57077567.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57077568.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3621024.html
3621045,ZT Dental,ZT Dental,CONTOURED ANTERIOR MATRIX M8 1.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57077814.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57077815.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3621045.html
3621132,ZT Dental,ZT Dental,CONTOURED ANTERIOR METAL MATRIX M8 2.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57078155.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57078157.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3621132.html
3622611,ZT Dental,ZT Dental,TOFFLEMIRE CONTOURED MATRICES M9,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57093663.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57093664.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3622611.html
3622614,ZT Dental,ZT Dental,TRANSPARENT CERVICAL MATRICES M11 1.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57093673.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57093674.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3622614.html
3622616,ZT Dental,ZT Dental,WEDGE GUARDS M3,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57093695.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57093696.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3622616.html
3622619,ZT Dental,ZT Dental,CLAMP RING R1 2.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57093701.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57093702.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3622619.html
3622631,ZT Dental,ZT Dental,CLAMP RING R2 3.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57093864.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57093865.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3622631.html
3622633,ZT Dental,ZT Dental,CLAMP RING R3 1.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57093870.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57093871.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3622633.html
3622635,ZT Dental,ZT Dental,CLAMP RING R4 3.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57093885.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57093886.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3622635.html
3622675,ZT Dental,ZT Dental,CLAMP RING R5 1.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57094236.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57094235.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3622675.html
3622680,ZT Dental,ZT Dental,CLAMP RING R5 2.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57094238.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57094239.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3622680.html
3622684,ZT Dental,ZT Dental,CLAMP RING R6 1.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57094253.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57094254.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3622684.html
3623585,ZT Dental,ZT Dental,CLAMP RING R8 1.0 for paediatric dentistry,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57100847.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57100848.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3623585.html
3623587,ZT Dental,ZT Dental,CLAMP RING R7 1.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57100965.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57100966.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3623587.html
3623590,ZT Dental,ZT Dental,CLAMP RING R10 1.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101086.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101087.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3623590.html
3623602,ZT Dental,ZT Dental,TULWAR WEDGES W5 1.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101116.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101117.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3623602.html
3623605,ZT Dental,ZT Dental,ADAPTIVE WEDGES W3 1.0,Matrix materials,,https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101153.jpg | https://nwzimg.wezhan.cn/contents/sitefiles2061/10305317/images/57101154.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_REFERENCE_REVIEW_REQUIRED,https://www.ztdental.com/productinfo/3623605.html
