source,supplierName,sourceUrl,externalId,name,brand,manufacturer,category,unit,currency,price,quantity,catalogOnly,description
ekom-official-kz,EKOM,https://www.ekom.sk/en/products/dentistry/compressors/dk50-simple,ekom-dk50-simple,Безмасляный стоматологический компрессор EKOM DK50 SIMPLE,EKOM,EKOM spol. s r.o.,Стоматологические компрессоры,шт,,,,true,Компактная мобильная модель для одной стоматологической установки. Исполнение со шкафом и осушителем выбирается в карточке.
ekom-official-kz,EKOM,https://www.ekom.sk/en/products/dentistry/compressors/dk50-10,ekom-dk50-10,Безмасляный стоматологический компрессор EKOM DK50-10,EKOM,EKOM spol. s r.o.,Стоматологические компрессоры,шт,,,,true,Модель с ресивером 10 л для одной стоматологической установки. Исполнение со шкафом и осушителем выбирается в карточке.
ekom-official-kz,EKOM,https://www.ekom.sk/en/products/dentistry/compressors/dk50-plus,ekom-dk50-plus,Безмасляный стоматологический компрессор EKOM DK50 PLUS,EKOM,EKOM spol. s r.o.,Стоматологические компрессоры,шт,,,,true,Модель с ресивером 25 л для одной стоматологической установки. Исполнение со шкафом и осушителем выбирается в карточке.
ekom-official-kz,EKOM,https://www.ekom.sk/en/products/dentistry/compressors/dk50-2v,ekom-dk50-2v,Безмасляный стоматологический компрессор EKOM DK50 2V,EKOM,EKOM spol. s r.o.,Стоматологические компрессоры,шт,,,,true,Модель с ресивером 25 л для двух стоматологических установок. Исполнение со шкафом и осушителем выбирается в карточке.
ekom-official-kz,EKOM,https://www.ekom.sk/en/products/dentistry/compressors/dk50-2v50,ekom-dk50-2v50,Безмасляный стоматологический компрессор EKOM DK50 2V/50,EKOM,EKOM spol. s r.o.,Стоматологические компрессоры,шт,,,,true,Модель с ресивером 50 л для двух стоматологических установок. Исполнение со шкафом и осушителем выбирается в карточке.
ekom-official-kz,EKOM,https://www.ekom.sk/en/products/dentistry/compressors/dk50-4vr50,ekom-dk50-4vr50,Безмасляный стоматологический компрессор EKOM DK50 4VR/50,EKOM,EKOM spol. s r.o.,Стоматологические компрессоры,шт,,,,true,Модель для одновременной работы трёх–четырёх стоматологических установок. Исполнение со шкафом и осушителем выбирается в карточке.
ekom-official-kz,EKOM,https://www.ekom.sk/en/products/dentistry/compressors/dk50-2x2v110,ekom-dk50-2x2v110,Безмасляный стоматологический компрессор EKOM DK50 2X2V/110,EKOM,EKOM spol. s r.o.,Стоматологические компрессоры,шт,,,,true,Модель с ресивером 110 л для трёх–четырёх стоматологических установок. Исполнение со шкафом и осушителем выбирается в карточке.
ekom-official-kz,EKOM,https://www.ekom.sk/en/products/dentistry/compressors/dk50-2x4vr110,ekom-dk50-2x4vr110,Безмасляный стоматологический компрессор EKOM DK50 2X4VR/110,EKOM,EKOM spol. s r.o.,Стоматологические компрессоры,шт,,,,true,Компрессорная станция для стоматологической клиники. Исполнение со шкафом и осушителем выбирается в карточке.
ekom-official-kz,EKOM,https://www.ekom.sk/en/products/dentistry/compressors/dk50-3x4vrm,ekom-dk50-3x4vrm,Безмасляный стоматологический компрессор EKOM DK50 3X4VR/M,EKOM,EKOM spol. s r.o.,Стоматологические компрессоры,шт,,,,true,Компрессорная станция с осушением воздуха для стоматологической клиники. Исполнение со шкафом и осушителем выбирается в карточке.
ekom-official-kz,EKOM,https://www.ekom.sk/en/products/dentistry/compressors/dk50-4x4vrtm,ekom-dk50-4x4vrtm,Безмасляный стоматологический компрессор EKOM DK50 4X4VRT/M,EKOM,EKOM spol. s r.o.,Стоматологические компрессоры,шт,,,,true,Высокопроизводительная компрессорная станция для стоматологической клиники. Исполнение со шкафом и осушителем выбирается в карточке.
ekom-official-kz,EKOM,https://www.ekom.sk/en/products/dentistry/compressors/dk50-6x4vrtm,ekom-dk50-6x4vrtm,Безмасляный стоматологический компрессор EKOM DK50 6X4VRT/M,EKOM,EKOM spol. s r.o.,Стоматологические компрессоры,шт,,,,true,Высокопроизводительная компрессорная станция для центра с несколькими кабинетами. Исполнение со шкафом и осушителем выбирается в карточке.
ekom-official-kz,EKOM,https://www.ekom.sk/en/products/dentistry/compressors/dk50-9x4vrtm,ekom-dk50-9x4vrtm,Безмасляный стоматологический компрессор EKOM DK50 9X4VRT/M,EKOM,EKOM spol. s r.o.,Стоматологические компрессоры,шт,,,,true,Центральная компрессорная станция для крупной стоматологической клиники. Исполнение со шкафом и осушителем выбирается в карточке.
ekom-official-kz,EKOM,https://www.ekom.sk/en/products/dentistry/compressors-with-dental-suction-system/duo,ekom-duo,Компрессор с аспирацией EKOM DUO,EKOM,EKOM spol. s r.o.,Компрессоры с аспирацией,шт,,,,true,Единый блок DUO: безмасляный компрессор и стоматологическая аспирация. Исполнение выбирается в карточке.
ekom-official-kz,EKOM,https://www.ekom.sk/en/products/dentistry/compressors-with-dental-suction-system/duo-2v,ekom-duo-2v,Компрессор с аспирацией EKOM DUO 2V,EKOM,EKOM spol. s r.o.,Компрессоры с аспирацией,шт,,,,true,Единый блок DUO 2V: безмасляный компрессор и стоматологическая аспирация. Исполнение выбирается в карточке.
ekom-official-kz,EKOM,https://www.ekom.sk/en/products/dentistry/compressors-with-dental-suction-system/duo-2,ekom-duo-2,Компрессор с аспирацией EKOM DUO 2,EKOM,EKOM spol. s r.o.,Компрессоры с аспирацией,шт,,,,true,Единый блок DUO 2: безмасляный компрессор и стоматологическая аспирация. Исполнение выбирается в карточке.
