source,supplierName,sourceUrl,externalId,name,brand,manufacturer,category,unit,currency,price,quantity,catalogOnly,description
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dental-gypsum/item-62,interdent-kz-62,Гипс зуботехнический Interrock Premium тип 4,Interdent,Interdent d.o.o.,Зуботехнические гипсы,шт,,,,true,"Качественный, менее тиксотропный, синтетический, супертвердый гипс для изготовления точных рабочих моделей в несъемном протезировании. Отличается высокой прочностью, гладкой поверхностью, края не крошатся. сканировать можно без использования порошка."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dental-gypsum/item-63,interdent-kz-63,Гипс зуботехнический Interrock NEW супертвердый тип 4,Interdent,Interdent d.o.o.,Зуботехнические гипсы,шт,,,,true,"Высококачественный, тиксотропный, синтетический, твёрдый гипс для прецизионной техники при изготовлении фарфоровых коронок и мостов."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dental-gypsum/item-64,interdent-kz-64,"Гипс твердый Interdur, тип III",Interdent,Interdent d.o.o.,Зуботехнические гипсы,шт,,,,true,"Качественный, тиксотропный, синтетический, твёрдый гипс для изготовления высококачественных рабочих моделей."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dental-gypsum/item-65,interdent-kz-65,Гипс зуботехнический Blue stone твердый тип 3,Interdent,Interdent d.o.o.,Зуботехнические гипсы,шт,,,,true,"Качественный, тиксотропный, многоцелевой гипс для применения в зуботехнической лаборатории."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dental-gypsum/item-66,interdent-kz-66,Гипс зуботехнический Yellow stone тип 3,Interdent,Interdent d.o.o.,Зуботехнические гипсы,шт,,,,true,"Качественный, тиксотропный, многоцелевой гипс для применения в зуботехнической лаборатории."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dental-gypsum/item-67,interdent-kz-67,Гипс зуботехнический Orthoplaster,Interdent,Interdent d.o.o.,Зуботехнические гипсы,шт,,,,true,"Супер-белый, качественный, тиксотропный гипс, для применения в ортодонтии."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dental-gypsum/item-68,interdent-kz-68,Гипс зуботехнический Artiplaster тип 3,Interdent,Interdent d.o.o.,Зуботехнические гипсы,шт,,,,true,В ортопедической стоматологии требуется применение специальных гипсов для фиксации моделей в артикуляторе (окклюдаторе).
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dental-gypsum/item-69,interdent-kz-69,Алебастр Interdent,Interdent,Interdent d.o.o.,Зуботехнические гипсы,шт,,,,true,Алебастр применяется для гипсовки восковой репродукции протеза в кювету перед полимеризацией.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/podgotovka/podgotovka/item-70,interdent-kz-70,Кольца ретенционные,Interdent,Interdent d.o.o.,Зуботехнические материалы,шт,,,,true,Для ретенций между первичной и вторичной частью гипсовой модели.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/podgotovka/podgotovka/item-71,interdent-kz-71,Штифты/пины,Interdent,Interdent d.o.o.,Зуботехнические материалы,шт,,,,true,"Стандартные штифты для изготовления разборной модели. Изготовлены из латуни, трех размеров. Коническая форма облегчает изъятие и обеспечивает достаточное трение."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/podgotovka/podgotovka/item-72,interdent-kz-72,Штифты для разборных моделей TWIN PINS,Interdent,Interdent d.o.o.,Зуботехнические материалы,шт,,,,true,"Штифты Тwin - Pin обеспечивают хорошую фиксацию при подготовке рабочей модели, особенно на тех участках модели, где мало места."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/modeling/auxiliary-tools-for-modeling/item-73,interdent-kz-73,Лак Interfilm для изоляции воск-гипс и воск-металл,Interdent,Interdent d.o.o.,Зуботехнические материалы,шт,,,,true,При погружном методе отличная изоляция гипсовых моделей с помощью тонкого слоя пленки. Изолирует воск от гипса и воск от металла.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/modeling/auxiliary-tools-for-modeling/item-74,interdent-kz-74,Лак дистанционный,Interdent,Interdent d.o.o.,Зуботехнические материалы,шт,,,,true,"Специальный лак для индивидуальной модели, устойчивый ко всем изолирующим средствам."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/modeling/auxiliary-tools-for-modeling/item-75,interdent-kz-75,Растворитель для дистанционного лака,Interdent,Interdent d.o.o.,Зуботехнические материалы,шт,,,,true,С помощью растворителя можно получить идеальную густоту дистанционного лака. Растворитель используется также для очистки моделей и кисточек.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/wax/item-76,interdent-kz-76,Воск корректирующий,Interdent,Interdent d.o.o.,Зуботехнические воски,шт,,,,true,"Корректирующий воск - воск с высокой температурой плавления. Применяется для коррекции гипсовых моделей, более твердый, и светло-серого цвета."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/wax/item-77,interdent-kz-77,Воск цервикальный,Interdent,Interdent d.o.o.,Зуботехнические воски,шт,,,,true,"Цервикальный воск особо эластичный, используется для моделирования инлеев и цервикальных краев коронок."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/wax/item-78,interdent-kz-78,Воски моделировочные,Interdent,Interdent d.o.o.,Зуботехнические воски,шт,,,,true,"Моделировочный воск применяется для моделирования коронок и мостов. Легко наносится и обрабатывается, быстро затвердевает и выгорает без остатка."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/wax/item-79,interdent-kz-79,Воск универсальный,Interdent,Interdent d.o.o.,Зуботехнические воски,шт,,,,true,"Универсальный воск - высококачественный воск, изготовленный из микровосков и растительных восков, серого цвета."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/wax/item-80,interdent-kz-80,"Воск выблокировочный ""Block Out""",Interdent,Interdent d.o.o.,Зуботехнические воски,шт,,,,true,Воск для поднутрений и для анализа модели при изготовлении бюгельного протеза. Высокая температура плавления 86°C обеспечивает использование его с дублировочными материалами многократного применения. Красно-розовый.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/wax/item-81,interdent-kz-81,"Воск для базисных протезов, в пластинах",Interdent,Interdent d.o.o.,Зуботехнические воски,шт,,,,true,"Для моделирования оснований протезов и прикусных валиков. Эластичный и стабильный, без усадки, вызываемой температурой."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/wax/item-82,interdent-kz-82,"Воск моделировочный, в пластинах",Interdent,Interdent d.o.o.,Зуботехнические воски,шт,,,,true,"Для моделирования оснований протезов и прикусных валиков. Эластичный и стабильный, без усадки, вызываемой температурой."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/wax/item-83,interdent-kz-83,Воск подкладочный,Interdent,Interdent d.o.o.,Зуботехнические воски,шт,,,,true,Подкладочный воск для адаптации элементов зуботехнической модели.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/wax/item-84,interdent-kz-84,"Воск клейкий, в палочках",Interdent,Interdent d.o.o.,Зуботехнические воски,шт,,,,true,Клейкий воск в палочках для фиксации элементов зуботехнической модели.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/wax/item-85,interdent-kz-85,Восковые пластины рифленые,Interdent,Interdent d.o.o.,Зуботехнические воски,шт,,,,true,Размер пластинок 125 х 75 мм. Упаковка 15 шт.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/wax/item-86,interdent-kz-86,Восковые полуфабрикаты,Interdent,Interdent d.o.o.,Зуботехнические воски,шт,,,,true,Различные формы предварительно выполненных восковых ретенций для применения в производстве изготовлении частичных Co-Cr протезов.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/wax/item-87,interdent-kz-87,Восковые ретенции,Interdent,Interdent d.o.o.,Зуботехнические воски,шт,,,,true,Обеспечивает надежную ретенцию в пластмассе.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dublirovanie/dublirovanie/item-88,interdent-kz-88,Gelodouble масса для дублирования,Interdent,Interdent d.o.o.,Дублирование и литьё,шт,,,,true,Масса для дублирования моделей в комбинированной технике и технике бюгельного протезирования.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dublirovanie/dublirovanie/item-89,interdent-kz-89,Силикон Interduplicast A+B,Interdent,Interdent d.o.o.,Дублирование и литьё,шт,,,,true,Двухкомпонентный силикон с низкой вязкостью для изготовления дублирующих моделей в зуботехнической лаборатории.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dublirovanie/dublirovanie/item-90,interdent-kz-90,Спрей Modelhart отвердитель для бюгельного литья,Interdent,Interdent d.o.o.,Дублирование и литьё,шт,,,,true,Отвердитель для модельного литья из паковочных масс при дублировании силиконом.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dublirovanie/pakovka/item-91,interdent-kz-91,Паковочная масса Interfine K+B Speed,Interdent,Interdent d.o.o.,Дублирование и литьё,шт,,,,true,Interfine K+B Speed – супергладкая паковочная масса на базе фосфата для коронок и мостов из благородных и неблагородных сплавов и для прессованной керамики.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dublirovanie/pakovka/item-92,interdent-kz-92,Паковочная масса Intervest K+B Speed,Interdent,Interdent d.o.o.,Дублирование и литьё,шт,,,,true,Intervest K+B Speed - паковочная масса на базе фосфатов для коронок и мостов.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dublirovanie/pakovka/item-93,interdent-kz-93,Паковочная масса Modelcast S,Interdent,Interdent d.o.o.,Дублирование и литьё,шт,,,,true,"Modelcast S паковочная масса на базе фосфата для бюгельных протезов, отличается исключительными свойствами, подходит классическому методу нагревания, а также шоковому методу."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dublirovanie/pakovka/item-94,interdent-kz-94,Паковочная масса Modelcast,Interdent,Interdent d.o.o.,Дублирование и литьё,шт,,,,true,Modelcast - фосфатная паковочная масса для модельного литья.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dublirovanie/pakovka/item-95,interdent-kz-95,Expasol - жидкость для паковочных масс,Interdent,Interdent d.o.o.,Дублирование и литьё,шт,,,,true,"Универсальная жидкость EXPASOL используется для замешивания паковочных масс Interfine K+B Speed, Intervest K+B Speed, Modelcast S и Modelcast."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dublirovanie/casting-accessories/item-96,interdent-kz-96,Муфельные кольца,Interdent,Interdent d.o.o.,Дублирование и литьё,шт,,,,true,"Стандартные размеры муфельных колец, продолжительный срок службы. Изготовлены из нержавеющего, огнестойкого металла, точно устанавливаются на резиновой подставке."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dublirovanie/casting-accessories/item-97,interdent-kz-97,Маркер Novy,Interdent,Interdent d.o.o.,Дублирование и литьё,шт,,,,true,Специальный карандаш для муфельных колец. Обозначения хорошо сохраняются даже после нагревания в печи при самых высоких температурах.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dublirovanie/alloys/item-100,interdent-kz-100,Сплав I-BOND 02 никель-хромовый для металлокерамики,Interdent,Interdent d.o.o.,Зуботехнические сплавы,шт,,,,true,I-Bond 02 - это биосовместимый литейный сплав на основе неблагородного никеля для металлокерамических реставраций зубов.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dublirovanie/alloys/item-101,interdent-kz-101,Сплав I-BOND NF кобальто-хромовый для металлокерамики,Interdent,Interdent d.o.o.,Зуботехнические сплавы,шт,,,,true,I-BOND NF - это бисосвместимый неблагородный сплав для литья на базе кобальта для техники металлокерамики.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dublirovanie/alloys/item-102,interdent-kz-102,Сплав I-MG кобальто-хромовый для бюгелей,Interdent,Interdent d.o.o.,Зуботехнические сплавы,шт,,,,true,бисосвместимый неблагородный сплав для бюгельного литья на базе кобальта.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dublirovanie/casting-accessories/item-103,interdent-kz-103,Керамические тигли,Interdent,Interdent d.o.o.,Дублирование и литьё,шт,,,,true,"Для плавления хромкобальтовых сплавов без содержания драгоценных металлов, хромникелевых и палладиевых сплавов."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/dublirovanie/casting-accessories/item-105,interdent-kz-105,Электролит MG жидкость для электрополировки,Interdent,Interdent d.o.o.,Дублирование и литьё,шт,,,,true,Жидкость для электрополировки Co-Cr сплавов.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/plastic/accessories/item-106,interdent-kz-106,Сеточка для укрепления пластмассы,Interdent,Interdent d.o.o.,Зуботехнические пластмассы,шт,,,,true,"Сетка-вкладыш толщиной 0,4 мм для повышения прочности пластмассы и оснований протезов."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/plastic/accessories/item-107,interdent-kz-107,Проволока для кламмеров,Interdent,Interdent d.o.o.,Зуботехнические пластмассы,шт,,,,true,"Круглая, из нержавеющей стали, для применения в ортодонтии и протезировании. Стабильная форма, высокая прочность."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/plastic/plastic/item-108,interdent-kz-108,Interacryl Hot - пластмасса,Interdent,Interdent d.o.o.,Зуботехнические пластмассы,шт,,,,true,Пластмасса горячей полимеризации с коротким временем полимеризации.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/plastic/plastic/item-109,interdent-kz-109,Interacryl Cast - пластмасса,Interdent,Interdent d.o.o.,Зуботехнические пластмассы,шт,,,,true,"На основе метилметакрилата, не содержит кадмия. в форме полимера (порошок) и мономера (жидкость)."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/silikon/item-110,interdent-kz-110,Силиконовая масса INTERLABOSIL,Interdent,Interdent d.o.o.,Лабораторные силиконы,шт,,,,true,Двухкомпонентная техническая силиконовая масса для изготовления блока для защиты зубов при полимеризации.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/plastic/plastic/item-111,interdent-kz-111,Восковые пластины для индивидуальных ложек LC Intertray,Interdent,Interdent d.o.o.,Зуботехнические пластмассы,шт,,,,true,Базисные пластины для изготовления индивидуальных ложек. Полимеризация осуществляется под воздействием ультрафиолетовых лучей с длиной волны 350-400 нм и галогенных лучей с длиной волны 420-480 нм.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/rotary-tools/item-112,interdent-kz-112,"Диски сепарационные, шлифовальные",Interdent,Interdent d.o.o.,Шлифовальные инструменты,шт,,,,true,Диски для разрезания и шлифования зуботехнических материалов. Размер и количество выбираются в варианте товара.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/sandblasting/item-113,interdent-kz-113,Порошок зуботехнический корундовый Interalox,Interdent,Interdent d.o.o.,Пескоструйные материалы,шт,,,,true,"Чистый корунд 99,96% Al2O3, белоснежный. Для пескоструйной обработки бюгелей, коронок и мостов, содержащих и не содержащих благородные и неблагородные сплавы, а также керамики."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/sandblasting/item-114,interdent-kz-114,Стеклянные перлы Interdent,Interdent,Interdent d.o.o.,Пескоструйные материалы,шт,,,,true,"50 микрон, 7 кг"
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/sandblasting/item-115,interdent-kz-115,Пемза Interdent,Interdent,Interdent d.o.o.,Пескоструйные материалы,шт,,,,true,"Пемза вулканического происхождения, очень чистая, идеальной зернистости для полировки пластмасс в зуботехнической лаборатории, 4 кг"
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-116,interdent-kz-116,Паста полировочная для сплавов,Interdent,Interdent d.o.o.,Полировочные материалы,шт,,,,true,Высококачественные полировочные пасты для сухой предварительной полировки различных дентальных сплавов.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-117,interdent-kz-117,Универсальная полировочная паста,Interdent,Interdent d.o.o.,Полировочные материалы,шт,,,,true,"Полировочная паста высокого глянца для полировки драгоценных и недрагоценных сплавов, телескопических работ, конусов, атачменов, керамики, композитов."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-118,interdent-kz-118,Паста полировочная Unilesk для пластмассы,Interdent,Interdent d.o.o.,Полировочные материалы,шт,,,,true,100 гр
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-119,interdent-kz-119,Фильцы для полирования,Interdent,Interdent d.o.o.,Полировочные материалы,шт,,,,true,Фильцы разных форм для полирования зуботехнических конструкций. Форма и размер выбираются в варианте товара.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-120,interdent-kz-120,Полировочные щетки для полировочного мотора,Interdent,Interdent d.o.o.,Полировочные материалы,шт,,,,true,Полировочные щетки изготавливаются из натуральных и экологически чистых материалов (с деревянной сердцевиной). Щетки быстро и хорошо полируют все дентальные сплавы и пластмассы.
