source,supplierName,sourceUrl,externalId,name,brand,manufacturer,category,unit,currency,price,quantity,catalogOnly,description
tokuyama-kz,Nord Stom,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-153,tokuyama-estelite-sigma-quick,Tokuyama Estelite Sigma Quick,Tokuyama Dental,Tokuyama Dental Corporation,Композитные материалы,шт,,,,true,Универсальный композит для прямых реставраций передних и боковых зубов. Форма выпуска набор и оттенок выбираются в варианте товара.
tokuyama-kz,Nord Stom,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-157,tokuyama-estelite-asteria,Tokuyama Estelite Asteria,Tokuyama Dental,Tokuyama Dental Corporation,Композитные материалы,шт,,,,true,Композитная система для эстетических реставраций по двухслойной методике. Форма выпуска набор и оттенок выбираются в варианте товара.
tokuyama-kz,Nord Stom,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-158,tokuyama-estelite-bulk-fill-flow,Tokuyama Estelite Bulk Fill Flow,Tokuyama Dental,Tokuyama Dental Corporation,Композитные материалы,шт,,,,true,Текучий композит для внесения слоем до 4 мм. Форма выпуска и оттенок выбираются в варианте товара.
tokuyama-kz,Nord Stom,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-159,tokuyama-estelite-color,Tokuyama Estelite Color,Tokuyama Dental,Tokuyama Dental Corporation,Композитные материалы,шт,,,,true,Светоотверждаемые краски для индивидуализации композитных реставраций. Цвет выбирается в варианте товара.
tokuyama-kz,Nord Stom,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-161,tokuyama-estelite-universal-flow-high,Tokuyama Estelite Universal Flow High,Tokuyama Dental,Tokuyama Dental Corporation,Композитные материалы,шт,,,,true,Текучий композит высокой текучести для реставраций и прокладок. Оттенок выбирается в варианте товара.
tokuyama-kz,Nord Stom,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-162,tokuyama-estelite-universal-flow-medium,Tokuyama Estelite Universal Flow Medium,Tokuyama Dental,Tokuyama Dental Corporation,Композитные материалы,шт,,,,true,Текучий композит средней вязкости для реставраций и прокладок. Оттенок выбирается в варианте товара.
tokuyama-kz,Nord Stom,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-163,tokuyama-estelite-universal-flow-super-low,Tokuyama Estelite Universal Flow Super Low,Tokuyama Dental,Tokuyama Dental Corporation,Композитные материалы,шт,,,,true,Текучий композит низкой текучести для точного моделирования реставраций. Оттенок выбирается в варианте товара.
tokuyama-kz,Nord Stom,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-164,tokuyama-omnichroma-blocker,Tokuyama Omnichroma Blocker,Tokuyama Dental,Tokuyama Dental Corporation,Композитные материалы,шт,,,,true,Опаковый композит для маскировки тёмного фона при работе с Omnichroma. Форма выпуска выбирается в варианте товара.
tokuyama-kz,Nord Stom,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-166,tokuyama-palfique-estelite-paste,Tokuyama Palfique Estelite Paste,Tokuyama Dental,Tokuyama Dental Corporation,Композитные материалы,шт,,,,true,Универсальный композит для реставраций передних и боковых зубов. Набор форма выпуска и оттенок выбираются в варианте товара.
tokuyama-kz,Nord Stom,https://nordstom.kz/catalog/therapy/adhesives-primers-acid-barriers-etchants/item-168,tokuyama-bond-force-ii,Tokuyama Bond Force II,Tokuyama Dental,Tokuyama Dental Corporation,Адгезивные системы,шт,,,,true,Однокомпонентный самопротравливающий светоотверждаемый адгезив. Флакон или набор выбираются в варианте товара.
