source_slug,supplier_name,source_url,external_id,name,brand,category,unit,currency,price,quantity,is_regulated,notes
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_pasty/190614042132","CKO-2","Зубная паста против зубного налета","Pierrot","zubnye_pasty","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_pasty/190614042439","CKO-3","Зубная паста с Зеленым чаем","Pierrot","zubnye_pasty","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_pasty/190614043144","СКО-4","Зубная паста с Алое Вера","Pierrot","zubnye_pasty","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_pasty/190614043421","СКO-5","Зубная паста с Прополисом","Pierrot","zubnye_pasty","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_pasty/190614044017","СКО-6","Зубная паста Отбеливающая","Pierrot","zubnye_pasty","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_pasty/190617094737","CKO-7","Зубная паста Сенсетив","Pierrot","zubnye_pasty","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/opolaskivateli/190617095114","CKO-12","Ополаскиватель Сенситив, без спирта","Pierrot","opolaskivateli","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_schetki/190619121010","CKO-50","Зубная Щетка СS SMART","","zubnye_schetki","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_schetki/190617102810","CKO-19","Зубная щетка для чувствительных десен","Pierrot","zubnye_schetki","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_schetki/190617103909","CKO-21","Зубная щетка Sensitive Teeth ExtraSoft","Pierrot","zubnye_schetki","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_schetki/190617112114","CKO-24","Зубная щетка New Activ","Pierrot","zubnye_schetki","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_schetki/190617114456","CKO-25","Зубная щетка New Balance","Pierrot","zubnye_schetki","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_schetki/190617114823","CKO-26","Зубная щетка Голд","Pierrot","zubnye_schetki","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_schetki/190617120839","CKO-31","Зубная щетка Детская Baby","Pierrot","zubnye_schetki","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_schetki/190617121617","CKO-33","Зубная щетка Гусеница","Pierrot","zubnye_schetki","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_schetki/190621013338","CKO-56","Набор ершиков Prime Plus","","zubnye_schetki","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/skrebki_ershi_flosssy/190617123300","CKO-37","Зубная нить Алоэ Вера, которая расширяется","Pierrot","skrebki_ershi_flosssy","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
