externalId,name,brand,manufacturer,unit,description,category,variantLabel,imageUrl,sourceUrls,supplierKeys,sourceCount,priceMinor,currency,quantityOnHand,warehouse,leadTimeDays,dataPolicy
"ucg-b5293d2cedce08dd","SOURCE Набор для увлажнения и насыщения","PAYOT","","","SOURCE Набор для увлажнения и насыщения - SOURCE 2025: Адаптивный уход для интенсивного восстановления кожи Набор PROMO SOURCE 2024 — это экспертная система увлажнения, которая учит кожу адаптироваться к агрессивному воздействию окружающей среды. Благодаря синергии адаптогенных растений (лесного мха и гриба рейши) и гиалуроновой кислоты, средства набора обеспечивают длительное увлажнение, предотвращают трансэпидермальную потерю влаги и укрепляют защитный барьер, возвращая лицу свежесть и тонус. В состав набора входит: Адаптогенный увлажняющий крем (Crème Hydratante Adaptogène), 50 мл. Насыщенный крем с тающей текстурой обеспечивает кастомное увлажнение на 48 часов. Он защищает кожу от ежедневного экологического стресса и дарит мгновенный комфорт. Увлажняющая эссенция (Essence Hydratante), 125 мл. Легкое, наполненное влагой средство, которое служит первым шагом в уходе. Мгновенно освежает, разглаживает и «наполняет» кожу, подготавливая её к нанесению крема и усиливая его действие. Особенности и преимущества: Пролонгированное действие: увлажнение сохраняется до 48 часов. Чистые и безопасные составы: до 95% ингредиентов натурального происхождения. Универсальность: подходит для всех типов кожи, нуждающихся в восстановлении водного баланса. Способ применения: Утром и вечером наносите небольшое количество Увлажняющей эссенции на чистую сухую кожу лица и шеи легкими похлопывающими движениями до полного впитывания. Затем нанесите Адаптогенный увлажняющий крем, распределяя его по массажным линиям. Такой многослойный подход позволяет максимально насытить кожу влагой.","ukhod_za_litsom","","https://shop-ucg.kz/upload/resize_cache/iblock/fe5/430_558_1/qj0rmdk3wtk5ir0pz01imn48icghlkkv.jpg","https://shop-ucg.kz/catalog/ukhod_za_litsom/protsedury_dlya_litsa/source_nabor_dlya_uvlazhneniya_i_nasyshcheniya_1/ | https://shop-ucg.kz/catalog/ukhod_za_litsom/dnevnoy_ukhod/source_nabor_dlya_uvlazhneniya_i_nasyshcheniya/","","2","","","","","","CANONICAL_ONLY_NO_COMMERCIAL_DATA"
"ucg-c295c33db336add7","CREME N°2 Набор для ухода за чувствительной кожей","PAYOT","","","CREME N°2 Набор для ухода за чувствительной кожей - PAYOT RITUEL DE SOINS APAISANT №2: Бережная забота о чувствительной коже Набор RITUEL DE SOINS APAISANT №2 — это идеальное решение для кожи, склонной к сухости, покраснениям и повышенной чувствительности. В основе ритуала лежит уникальное сочетание растительных экстрактов и микробиотического комплекса, который укрепляет естественную защиту эпидермиса. Средства набора работают в синергии, обеспечивая мгновенное облегчение, глубокое увлажнение и длительный комфорт для самых деликатных зон лица. В состав набора входит: Успокаивающий крем для лица (Crème cachemire apaisante), 50 мл. Обладает нежной &quot;кашемировой&quot; текстурой, которая тает на коже. Экстракт цеструма, пробиотики и пребиотики эффективно борются с раздражением и покраснениями. Содержит 78% ингредиентов натурального происхождения. Успокаивающий бальзам для губ (Stick lèvres hydratant apaisant), 4 г. Натуральное средство на основе масел ши и кокоса. Мгновенно смягчает, увлажняет и защищает кожу губ от растрескивания и сухости. Содержит 99% ингредиентов натурального происхождения. Особенности и преимущества: Восстановление микробиома кожи для снижения её реактивности. Интенсивное питание и защита от агрессивного воздействия внешней среды. Чистые составы, подходящие для ежедневного ухода за самой требовательной кожей. Способ применения: Наносите успокаивающий крем для лица утром и вечером на предварительно очищенную кожу лица и шеи легкими разглаживающими движениями. Бальзам для губ используйте в течение дня по мере необходимости при первых признаках сухости или стянутости, а также перед выходом на открытый воздух для защиты.","ukhod_za_litsom","","https://shop-ucg.kz/upload/resize_cache/iblock/803/430_558_1/oi0y0sqhts9bve2gp9h4d4o0ok9dy5so.webp","https://shop-ucg.kz/catalog/ukhod_za_litsom/protsedury_dlya_litsa/creme_n_2_nabor_dlya_ukhoda_za_chuvstvitelnoy_kozhey/","","1","","","","","","CANONICAL_ONLY_NO_COMMERCIAL_DATA"
"ucg-ad7a7a4ce8c19c68","Сыворотка с витамином C+RHA для лица TEOXANE RHA Vit C Serum","TEOXANE","","","Сыворотка с витамином C+RHA для лица TEOXANE RHA Vit C Serum - Активная сыворотка для ежедневного усовершенствованного ухода за кожей, заметно омолаживает внешний вид лица. Уникальная формула RHA глубоко увлажняет кожу, разглаживает тонкие линии и морщины. Комплекс DRC и пировиноградная кислота стимулируют кожу к регенерации и глубоким возобновлениям изменениям, благодаря чему она восстанавливает должную плотность и упругость. Витамин С обладает мощным антиоксидантным действием, поддерживает процесс синтеза коллагена, освещает цвет, помогает уменьшить обесцвечивание и придает блеск. Кожа приобретает сияющий и отдохнувший вид. СПОСОБ ПРИМЕНЕНИЯ: Нанесите сыворотку на очищенную кожу лица, шеи и декольте дважды в день - утром и вечером, подождите 2-3 минуты и нанесите Advanced Filler, Advanced Perfecting Shield SPF30 или UVA Shield SPF50+. РЕЗУЛЬТАТ: Глубоко и длительно увлажняет и питает кожу, разглаживает тонкие линии и морщинки. КЛЮЧЕВЫЕ ИНГРЕДИЕНТЫ: RHA® - эластичная гиалуроновая кислота: укрепляет кожный барьер и надолго увлажняет. 8% Витамина С - уменьшает выработку меланина, заметно осветляет кожу и придает сияние.","ukhod_za_litsom","","https://shop-ucg.kz/upload/iblock/854/ytuo6z1ro2g4xkom436tbmte5z17hug7.png","https://shop-ucg.kz/catalog/ukhod_za_litsom/syvorotki/syvorotka_s_vitaminom_c_rha_dlya_litsa_teoxane_rha_vit_c_serum/","","1","","","","","","CANONICAL_ONLY_NO_COMMERCIAL_DATA"
"ucg-b2ce741766a9668a","MY PAYOT Набор для создания эффекта сияния","PAYOT","","","MY PAYOT Набор для создания эффекта сияния - MY PAYOT Rituel Glow: Заряд энергии и сияния для вашей кожи Набор MY PAYOT Rituel Glow — это полноценная система ухода, созданная для кожи, нуждающейся в энергии и защите. Благодаря сочетанию супер-ингредиентов и высокой концентрации витамина С, средства набора эффективно устраняют признаки усталости, защищают от внешних агрессивных факторов и восстанавливают природную яркость кожи. В состав набора входит: Витаминный крем для сияния кожи (Crème Vitaminée Éclat), 30 мл. Глубоко увлажняет и питает кожу, наполняя её энергией и возвращая здоровый цвет лица. Защитная дымка против загрязнений (Brume Anti-Pollution Éclat), 100 мл. Создает невидимый барьер против городской пыли и смога, освежает кожу в течение дня и дарит ей естественное свечение. Энергизирующий уход для контура глаз (Super Énergisant Regard), 15 мл. Эффективное средство против темных кругов и отеков. Освежает взгляд, увлажняет нежную кожу вокруг глаз и уменьшает видимые следы усталости. Особенности и преимущества: Мгновенный эффект отдохнувшей и сияющей кожи. Мощная антиоксидантная защита от негативного воздействия городской среды. Комплексное решение для лица и зоны вокруг глаз в одном наборе. Способ применения: Нанесите увлажняющий Витаминный крем на предварительно очищенную кожу лица. Используйте Энергизирующий уход для области вокруг глаз утром и вечером легкими похлопывающими движениями. Для защиты и дополнительного сияния распыляйте дымку Anti-Pollution на кожу лица в течение дня по мере необходимости.","ukhod_za_litsom","","https://shop-ucg.kz/upload/resize_cache/iblock/90d/430_558_1/yrda2u7o9trzoa47v4mg1pj0hditqu1t.webp","https://shop-ucg.kz/catalog/ukhod_za_litsom/protsedury_dlya_litsa/my_payot_nabor_dlya_sozdaniya_effekta_siyaniya/","","1","","","","","","CANONICAL_ONLY_NO_COMMERCIAL_DATA"
"ucg-bfd0e2324159afc0","RITUEL DOUCEUR Увлажняющий уход для лица и тела","PAYOT","","","RITUEL DOUCEUR Увлажняющий уход для лица и тела - RITUEL DOUCEUR DUO: Идеальное сочетание для мягкости и питания кожи Набор RITUEL DOUCEUR DUO VISAGE&CORPS 24 — это базовый ритуал красоты, направленный на поддержание оптимального уровня увлажненности и липидного баланса кожи. Средства серии Douceur отличаются деликатными формулами и нежными текстурами, которые мгновенно впитываются, устраняют чувство стянутости и делают кожу бархатистой. Набор обеспечивает полноценный уход как за кожей лица, так и за телом, защищая их от негативного воздействия внешней среды. В состав набора входит: Увлажняющий и питающий крем для лица (Crème Hydratante et Nourrissante), 30 мл. Универсальное средство, которое глубоко питает эпидермис, восстанавливает его защитный барьер и возвращает лицу здоровое сияние. Подходит для ежедневного применения. Увлажняющее молочко для тела (Lait Hydratant), 100 мл. Обладает легкой текучей текстурой, которая мгновенно увлажняет кожу тела после душа, предотвращая шелушение и сухость. Оставляет на коже тонкий, приятный аромат. Особенности и преимущества: Интенсивное питание и пролонгированное увлажнение в течение дня. Компактные форматы средств, удобные для поездок и знакомства с линией. Подходит для всех типов кожи, включая сухую и чувствительную. Способ применения: Крем для лица наносите утром и вечером на предварительно очищенную кожу лица и шеи легкими массирующими движениями. Молочко для тела рекомендуется использовать ежедневно после принятия ванны или душа, распределяя его по всей поверхности тела до полного впитывания, уделяя особое внимание сухим участкам (локти, колени).","ukhod_za_litsom","","https://shop-ucg.kz/upload/resize_cache/iblock/abb/430_558_1/rc6fg2mm4dvaf420bjpwo5bjr76ihi78.webp","https://shop-ucg.kz/catalog/ukhod_za_litsom/protsedury_dlya_litsa/rituel_douceur_uvlazhnyayushchiy_ukhod_dlya_litsa_i_tela/","","1","","","","","","CANONICAL_ONLY_NO_COMMERCIAL_DATA"
"ucg-f9ad3c8b0ff93e62","MY PAYOT Набор с витамином C для сияния кожи","PAYOT","","","MY PAYOT Набор с витамином C для сияния кожи - MY PAYOT Rituel Glow: Интенсивное сияние и антиоксидантная защита Набор Rituel Glow – это комплексный подход для возвращения тусклой и уставшей коже ее естественной яркости и тонуса. Продукты, обогащенные Витамином C и экстрактами суперфудов, работают вместе, чтобы очистить, зарядить энергией и восстановить кожу. В состав набора входит: Витаминный крем, 30 мл. Обеспечивает коже заряд энергии и антиоксидантную защиту. Борется с первыми признаками усталости, делая кожу свежей и сияющей. Очищающий гель для снятия макияжа, 50 мл. Деликатно и эффективно удаляет загрязнения и макияж. Оставляет ощущение чистоты и комфорта, не пересушивая. Ночная маска для лица, 30 мл. Работает, пока вы спите. Интенсивно восстанавливает и насыщает кожу, чтобы утром она выглядела отдохнувшей и полной сияния. Свойства набора: Мгновенный эффект &quot;здорового свечения&quot;. Защита от свободных радикалов и усталости. Комплексное увлажнение и тонизирование. Способ применения: 1. Очистите кожу Гелем для снятия макияжа. 2. Утром нанесите Витаминный крем. 3. Вечером (2-3 раза в неделю) нанесите Ночную маску вместо крема.","ukhod_za_litsom","","https://shop-ucg.kz/upload/resize_cache/iblock/4b3/430_558_1/lfhmk42e12gkthbr277fkhaulx6cb4v3.png","https://shop-ucg.kz/catalog/ukhod_za_litsom/protsedury_dlya_litsa/my_payot_nabor_s_vitaminom_c_dlya_siyaniya_kozhi/","","1","","","","","","CANONICAL_ONLY_NO_COMMERCIAL_DATA"
"ucg-52b2c88dccaf1d4e","LISSE Набор для ухода за кожей с гиалуроновой кислотой","PAYOT","","","LISSE Набор для ухода за кожей с гиалуроновой кислотой - PROMO LISSE: Глубокое восстановление и борьба с морщинами Набор LISSE Set — это комплексная программа по уходу за кожей, основанная на действии гиалуроновой кислоты и натуральных растительных экстрактов. Средства серии LISSE не только разглаживают существующие морщины, но и создают надежный защитный барьер против факторов современного городского образа жизни, включая излучение экранов (синий свет) и частицы пыли. Минималистичные формулы продуктов обеспечивают максимальную переносимость даже для чувствительных зон. В состав набора входит: Дневной крем против морщин Crème lissante rides, 50 мл. Обогащен экстрактом шандры и гиалуроновой кислотой. Интенсивно увлажняет, выравнивает микрорельеф и защищает кожу от внешних загрязнений. Содержит 91% ингредиентов натурального происхождения. Разглаживающий крем для кожи вокруг глаз и контура губ Soin défroissant regard et lèvres, 15 мл. Деликатное средство с маслом ши, разработанное специально для тонкой кожи. Помогает уменьшить видимость морщин в самых активных зонах лица. Содержит 96% ингредиентов натурального происхождения. Массажер из кварца QUARTZ MUSHROOM. Натуральный аксессуар для лица, который усиливает лимфодренаж, снимает мышечное напряжение и способствует более глубокому проникновению активных компонентов крема. Особенности и преимущества: Комплексное воздействие на морщины в области лица, глаз и губ. Защита от Blue Light (синего света гаджетов). Экологичные составы с высокой концентрацией натуральных компонентов. Способ применения: На очищенную кожу вокруг глаз и губ нанесите разглаживающий крем Soin défroissant. Затем распределите дневной крем Crème lissante по всему лицу и шее. Завершите ритуал массажем с помощью кварцевого массажера Mushroom, прорабатывая массажные линии для достижения выраженного лифтинг-эффекта.","ukhod_za_litsom","","https://shop-ucg.kz/upload/resize_cache/iblock/c68/430_558_1/vqnu386g1ncmnmsv7xazgs2olu74y1s9.jpg","https://shop-ucg.kz/catalog/ukhod_za_litsom/protsedury_dlya_litsa/lisse_nabor_dlya_ukhoda_za_kozhey_s_gialuronovoy_kislotoy/","","1","","","","","","CANONICAL_ONLY_NO_COMMERCIAL_DATA"
"ucg-d6570d465063184b","ROSELIFT Набор для лифтинг-ухода за кожей лица","PAYOT","","","ROSELIFT Набор для лифтинг-ухода за кожей лица - ROSELIFT COLLAGENE: Профессиональный уход для укрепления и лифтинга Набор ROSELIFT COLLAGENE XMAS SET 2024 — это премиальная программа ухода, направленная на восстановление архитектуры лица и борьбу с потерей упругости. В основе средств лежит синергия активных компонентов, которые стимулируют синтез коллагена на клеточном уровне, обеспечивая выраженный моделирующий эффект и глубокое омоложение зрелой кожи. В состав набора входит: Дневной крем с эффектом лифтинга (Jour), 50 мл. Обладает уникальной текстурой «памяти формы», которая мгновенно подтягивает кожу, укрепляет овал лица и возвращает тканям плотность. Разглаживающий уход для области вокруг глаз (Regard), 15 мл. Легкое и эффективное средство для коррекции возрастных изменений. Разглаживает морщины в уголках глаз, уменьшает отечность и придает взгляду открытость. Массажный аксессуар для лица. Специальный инструмент, который усиливает действие косметических средств, стимулирует микроциркуляцию и способствует глубокому лифтингу мышечного каркаса. Особенности и преимущества: Мощное стимулирующее действие на выработку собственного коллагена. Заметное сокращение глубины морщин и коррекция овала лица. Роскошные тающие текстуры и изысканный цветочный аромат. Способ применения: Утром нанесите дневной крем Jour на предварительно очищенную кожу лица и шеи. Распределите небольшое количество крема для глаз Regard по орбитальной зоне легкими похлопывающими движениями. Для достижения максимального лифтинг-эффекта используйте массажный аксессуар, прорабатывая контуры лица по массажным линиям.","ukhod_za_litsom","","https://shop-ucg.kz/upload/resize_cache/iblock/aef/430_558_1/1vuu04f8g8hlin87zon8yar4vibeyrhk.jpg","https://shop-ucg.kz/catalog/ukhod_za_litsom/protsedury_dlya_litsa/roselift_nabor_dlya_lifting_ukhoda_za_kozhey_litsa/","","1","","","","","","CANONICAL_ONLY_NO_COMMERCIAL_DATA"
"ucg-ece4d936dd72ad42","Мини CC-крем для сияния кожи SPF15 MINI CRÈME TEINTÉE ÉCLAT SPF15, 50 мл","PAYOT","","","Мини CC-крем для сияния кожи SPF15 MINI CRÈME TEINTÉE ÉCLAT SPF15, 50 мл - MINI CRÈME TEINTÉE ÉCLAT: Уход, коррекция и защита одним жестом Мини CC-крем для сияния кожи — это универсальное средство, объединяющее свойства увлажняющего крема, тональной основы и SPF-защиты. Его главная особенность — &quot;умная&quot; технология капсулированных пигментов: при нанесении на кожу микрокапсулы раскрываются, освобождая пигмент, который идеально сливается с вашим естественным оттенком лица без эффекта маски или границ нанесения. Легкая текстура крема дарит ощущение комфорта, увлажняет и мгновенно преображает тусклую кожу, стирая следы усталости. Активные свойства и действие: Цветовая адаптация. Крем обеспечивает легкое покрытие, которое выравнивает микрорельеф и скрывает мелкие несовершенства, подстраиваясь под теплый или холодный подтон кожи. Эффект &quot;мягкого фокуса&quot;. Светоотражающие частицы визуально разглаживают кожу, придавая ей отдохнувший вид и естественное благородное сияние. Увлажнение и защита. Формула насыщает эпидермис влагой и защищает от фотостарения благодаря фильтрам SPF15. Особенности и преимущества: Мини-формат удобен для того, чтобы поправить макияж в течение дня или взять с собой в поездку. Не забивает поры и позволяет коже &quot;дышать&quot;. Подходит для всех типов кожи как самостоятельное средство или база под макияж. Способ применения: Нанесите небольшое количество крема на очищенную кожу лица. Равномерно распределите подушечками пальцев, спонжем или кистью от центра к периферии. Вы увидите, как белый крем превращается в тонирующее средство, подстраиваясь под ваш тон.","ukhod_za_litsom","","https://shop-ucg.kz/upload/resize_cache/iblock/696/430_558_1/9e1iimoivv7w8pu1egsvbx0qq82g1hhc.webp","https://shop-ucg.kz/catalog/ukhod_za_litsom/bb_cc_cream/mini_cc_krem_dlya_siyaniya_kozhi_spf15_mini_cr_me_teint_e_clat_spf15_50_ml/","","1","","","","","","CANONICAL_ONLY_NO_COMMERCIAL_DATA"
"ucg-e35b8dce77035a8b","Лифтинг CC-крем с SPF 30 CC CRÈME LIFTANTE SPF 30, 40 мл","PAYOT","","","Лифтинг CC-крем с SPF 30 CC CRÈME LIFTANTE SPF 30, 40 мл - CC CRÈME LIFTANTE SPF 30: Искусство идеальной кожи CC CRÈME LIFTANTE SPF 30 — это больше, чем просто тонирующее средство. Это полноценный антивозрастной уход, который работает на улучшение контуров лица и качества кожи день за днем. При соприкосновении с кожей «умные» капсулы пигмента раскрываются, превращаясь в легкий, полупрозрачный тон, который идеально сливается с вашим натуральным цветом лица. Крем скрывает несовершенства, придает коже «отдохнувший» вид и обеспечивает необходимую защиту от вредного воздействия солнечных лучей, которые являются главными врагами молодости. Активные свойства и действие: Лифтинг-действие. Формула направлена на повышение упругости кожи, помогая визуально подтянуть овал лица и разгладить мелкие морщинки. Адаптивный тон. Капсулированные пигменты позволяют избежать эффекта маски — крем подстраивается под ваш подтон, делая кожу сияющей и свежей. Защита от фотостарения. Высокий фильтр SPF 30 предотвращает появление пигментации и защищает коллагеновые волокна от разрушения под воздействием солнца. Особенности и преимущества: Комфортная текстура, которая не ощущается на лице в течение дня. Универсальный оттенок, подходящий для широкого диапазона цветотипов. Сокращает время утренних сборов: увлажняющий крем, коррекция тона и SPF в одном средстве. Способ применения: Наносите небольшое количество крема на очищенную кожу лица (можно использовать самостоятельно или поверх вашего дневного крема). Равномерно распределите по направлению от центра к периферии. Крем адаптируется к вашему оттенку в течение нескольких секунд, оставляя естественный сияющий финиш.","ukhod_za_litsom","","https://shop-ucg.kz/upload/resize_cache/iblock/396/430_558_1/gf07zwnc4ku6n3r9e7ki3ujvp4hwldp9.webp","https://shop-ucg.kz/catalog/ukhod_za_litsom/bb_cc_cream/lifting_cc_krem_s_spf_30_cc_cr_me_liftante_spf_30_40_ml/","","1","","","","","","CANONICAL_ONLY_NO_COMMERCIAL_DATA"
