externalId,name,supplierSku,gtin,brand,manufacturer,unit,description,category,variantLabel,imageUrl,sourceUrl,priceMinor,currency,quantityOnHand,warehouse,leadTimeDays,dataPolicy
"procosmetics-9ed51236e6c425ff","ТКАНЕВЫЕ ПРОТИВООТЁКОВЫЕ ПЛАСТЫРИ ДЛЯ ГЛАЗ","","","","","","Активизируют обменные процессы, уменьшают отёки, тонизируют, увлажняют, разглаживают мелкие морщинки, делают упругой и эластичной, освежают.","professional-cosmetics","","https://res.cloudinary.com/dpxc9qbkc/image/upload/c_limit,f_auto,q_auto:good,w_1200/v1769453608/pro-cosmetics/products/pbkbvca2bveyjx7zs9fp.jpg","https://www.procosmetics.kz/shop/tkanevye-protivootekovye-plastyri-dlya-glaz","","","","","","CANONICAL_DISCOVERY_ONLY_NO_PRICE_OR_STOCK"
"procosmetics-6e0a5a04f091c089","ЭНЗИМНАЯ ОЧИЩАЮЩАЯ ПУДРА","","","","","","Энзимная пудра деликатно отшелушивает ороговевшие клетки эпидермиса, загрязнения, избытки себума. Натуральные ферменты (энизимы) в составе пудры катализируют гидролиз белков и способствуют бережной эксфолиации и очищению. АКТИВНЫЕ КОМПОНЕНТЫ: комплекс мягких ПАВ из натуральных жирных кислот кокосового масла и аминокислот - инновационное решение в области ингредиентов для средств личной гигиены: гипоаллергенен, оказывает мягкое очищающее воздействие на кожу, имеет слабокислый pH, максимально приближенный к pH кожи, оставляет ощущение увлажненности, свежести и мягкости; папаин - стимулирует эксфолиирующий эффект кожи и отшелушивание корнеоцитов, выборочно разрушая связи корнеодесмосом между поврежденными или мертвыми клетками, обеспечивает отличный пилинг кожи и увлажнение, молекулярная пленка защищает кожу от сухости, делает ее мягче за счет десквамации и естественного увлажнения, оптимизируя водный баланс эпидермиса; экстракт ананаса - способствует обновлению эпидермиса, улучшает его проницаемость для активных компонентов последующего ухода, улучшает цвет и текстуру кожи, снижает выраженность морщин, дает мягкий увлажняющий и антибактериальный эффекты; натуральный бетаин - поддерживает электролитный баланс в клетках, удерживая в них молекулы воды, и уменьшает раздражение кожи, смягчает ее и разглаживает, защищает клетки кожи от избытка соли и воздействия высокой температуры, его присутствие существенно снижает риск аномальных мутаций ДНК, способствует заживлению микроповреждений; рисовый крахмал - благодаря микрогранулам удаляет загрязнения, себум, омертвевшие клетки, не затрагивая липиды кожи, не нарушает ее защитный барьер; крахмал тапиоки - оказывает смягчающее и выравнивающее действие, придает коже бархатистость, восстанавливает защитный барьер и удерживает влагу. СПОСОБ ПРИМЕНЕНИЯ: на мокрую ладонь насыпать небольшое количество порошка, вспенить и нанести на лицо массирующими движениями, уделяя повышенное внимание проблемным участкам. Тщательно смыть водой. Рекомендуется использовать 1-2 раза в неделю.","professional-cosmetics","","https://res.cloudinary.com/dpxc9qbkc/image/upload/c_limit,f_auto,q_auto:good,w_1200/v1769365198/pro-cosmetics/products/bbwgin8qjvrlc0ivc4c1.jpg","https://www.procosmetics.kz/shop/enzimnaya-ochischayuschaya-pudra","","","","","","CANONICAL_DISCOVERY_ONLY_NO_PRICE_OR_STOCK"
"procosmetics-d9129bf4dd9b82a8","ОЧИЩАЮЩЕЕ МОЛОЧКО","","","","","","СПОСОБ ПРИМЕНЕНИЯ: нанесите молочко на влажную кожу лица, шеи и декольте, распределить круговыми движениями и смойте большим количеством теплой воды. ОПИСАНИЕ: деликатно и бережно удаляет загрязнения и декоративную косметику с поверхности кожи, включая область вокруг глаз. Содержит увлажняющие и успокаивающие компоненты, восстанавливает гидратацию кожи и оставляет приятное ощущение свежести. Подходит для ежедневного очищения чувствительной и склонной к сухости кожи. АКТИВНЫЕ КОМПОНЕНТЫ: комплекс мягких ПАВ из растительных компонентов мягко и бережно удаляет загрязнения с поверхности кожи, не нарушая ее барьерные функции, обеспечивает физиологический уровень pН; Fucogel тонизирует кожу, образует на коже защитную пленку, проницаемую для воздуха, что обеспечивает длительное увлажнение; алоэ вера обладает успокаивающими, противовоспалительными и антимикробными свойствами, способствует увлажнению кожи; комплекс растительных экстрактов оказывает антисептическое и противовоспалительное действие, уменьшает раздражение и покраснение, освежает и тонизирует кожу, ускоряет процесс регенерации.","professional-cosmetics","","https://res.cloudinary.com/dpxc9qbkc/image/upload/c_limit,f_auto,q_auto:good,w_1200/v1769364053/pro-cosmetics/products/vgocbahjgcs16pm12yre.jpg","https://www.procosmetics.kz/shop/ochischayuschee-molochko","","","","","","CANONICAL_DISCOVERY_ONLY_NO_PRICE_OR_STOCK"
"procosmetics-34a49fc9f81285ad","ОЧИЩАЮЩАЯ ПЕНКА С АМИНОКИСЛОТАМИ","","","","","","СПОСОБ ПРИМЕНЕНИЯ: небольшое количество пенки нанести на влажную кожу лица, шеи и декольте. Помассировать и смыть большим количеством воды. ОПИСАНИЕ: мягкое очищающее средство с нежной текстурой предназначено для ежедневного очищения и демакияжа кожи любого типа, включая сухую и чувствительную. Пенка нежно очищает кожу от загрязнений, сохраняя целостность гидролипидной мантии, поддерживая необходимый уровень увлажнения кожи, дарит ей ощущение чистоты и свежести. АКТИВНЫЕ КОМПОНЕНТЫ: комплекс мягких ПАВ из растительных компонентов мягко и бережно удаляет загрязнения с поверхности кожи, не нарушая ее барьерные функции, обеспечивает физиологический уровень pН, оставляет ощущение увлажненности, свежести и мягкости; комплекс аминокислот повторяет состав натурального увлажняющего фактора кожи, поддерживает необходимый уровень влаги в эпидермисе до 12 часов, обеспечивает защиту сухой и чувствительной кожи от негативного воздействия внешней среды; Pentavitin глубоко увлажняет, улучшает гидратацию клеток эпидермиса, усиливает иммунитет кожи, уменьшает покраснение и раздражение, восстанавливает микробиом; алоэ вера обладает успокаивающими, противовоспалительными и антимикробными свойствами, способствует увлажнению кожи и усилению регенерации; бетаин смягчает и разглаживает кожу, способствует сохранению влаги, удерживает ее в клетках, ускоряет регенерацию тканей; экстракт зеленого чая оказывает выраженное антиоксидантное, противовоспалительное и увлажняющее действие, обладает антимикробными и себостатическими свойствами.","professional-cosmetics","","https://res.cloudinary.com/dpxc9qbkc/image/upload/c_limit,f_auto,q_auto:good,w_1200/v1769363893/pro-cosmetics/products/fc5e7veua61efhismbpc.jpg","https://www.procosmetics.kz/shop/ochischayuschaya-penka-s-aminokislotami","","","","","","CANONICAL_DISCOVERY_ONLY_NO_PRICE_OR_STOCK"
"procosmetics-e24ec89d4a018d09","ГЕЛЬ ДЛЯ УМЫВАНИЯ С МОЛОЧНОЙ КИСЛОТОЙ","","","","","","СПОСОБ ПРИМЕНЕНИЯ: нанесите небольшое количество геля на влажную кожу лица, шеи и декольте, распределите легкими массирующими движениями и тщательно смойте теплой водой. ОПИСАНИЕ: гель обеспечивает бережное и эффективное очищение, предупреждает сухость и стянутость кожи, оказывает успокаивающее, смягчающее и увлажняющее действия, выравнивает микрорельеф, поддерживает эпидермальный барьер. Подходит для любого типа кожи и ежедневного применения. АКТИВНЫЕ КОМПОНЕНТЫ: молочная кислота мягко очищает и отшелушивает ороговевший слой эпидермиса, обладает выраженным увлажняющим эффектом, способствует сужению пор, нормализует выработку кожного сала, поддерживает защитный барьер, осветляет и выравнивает тон лица, повышает эластичность и упругость кожи; д-пантенол запускает процессы восстановления кожи, оказывает увлажняющее и успокаивающее действие, нормализует процессы метаболизма клеток, способствует усилению выработки коллагена, кожа обретает тонус и плотность; гидролизованные протеины пшеницы восстанавливают микрорельеф кожи, оказывая смягчающий и разглаживающий эффект, способствуют поддержанию оптимального уровня рН; алоэ вера содержит бактерицидные соединения и витамины, обладает успокаивающим, противовоспалительным и антимикробным действием; бетаин эффективно увлажняет кожу, смягчает и разглаживает ее, способствует сохранению влаги, удерживает ее в клетках, ускоряет регенерацию тканей; аллантоин размягчает ороговевшие клетки и способствует их отшелушиванию, предотвращает сухость и раздражение, успокаивает и восстанавливает поврежденную кожу, оказывает противомикробное действие; полисахариды растительного происхождения схожи по своему составу с кожей, обеспечивают глубокое увлажнение, усиливают врожденный иммунитет, восстанавливают микробиом.","professional-cosmetics","","https://res.cloudinary.com/dpxc9qbkc/image/upload/c_limit,f_auto,q_auto:good,w_1200/v1769362929/pro-cosmetics/products/rnkam1fvhqjqxsbnoleq.jpg","https://www.procosmetics.kz/shop/gel-dlya-umyvaniya-s-molochnoy-kislotoy","","","","","","CANONICAL_DISCOVERY_ONLY_NO_PRICE_OR_STOCK"
"procosmetics-e3b5ff4d55606cdc","ГЕЛЬ ДЛЯ УМЫВАНИЯ С АМИНОКИСЛОТАМИ ШЕЛКА","","","","","","СПОСОБ ПРИМЕНЕНИЯ: нанесите небольшое количество геля на влажную кожу лица, шеи и декольте, распределите легкими массирующими движениями и смойте обильным количеством воды. ОПИСАНИЕ: обеспечивает мягкое и бережное очищение, восстанавливает барьерные функции кожи и поддерживает естественный рН-баланс, подходит для ежедневного применения сухой, поврежденной и чувствительной кожи. АКТИВНЫЕ КОМПОНЕНТЫ: Lamesoft PO 65 обеспечивает защиту и усиливает липидный барьер кожи, оказывает смягчающее и увлажняющее действие, придает коже мягкость и гладкость; аминокислоты шелка легко проникают через кожный барьер, усиливают обменные процессы и улучшают микроциркуляцию, придают коже мягкость и эластичность, обладают увлажняющим, антиоксидантным и тонизирующим действием; бетаин эффективно увлажняет кожу, смягчает и разглаживает ее, способствует сохранению влаги, удерживает ее в клетках, ускоряет регенерацию тканей; д-пантенол запускает процессы восстановления кожи, оказывает увлажняющее и успокаивающее действие, нормализует процессы метаболизма клеток, оказывает успокаивающий эффект на кожу, снимает зуд и раздражения; аллантоин обладает противовоспалительным действием, помогает отшелушиванию ороговевших клеток, препятствует появлению черных точек, предотвращает сухость и раздражение, успокаивает и восстанавливает поврежденную кожу; Pentavitin оказывает пролонгированное увлажняющее действие, препятствует потере влаги с кожи вследствие агрессивного воздействия окружающей среды, уменьшает покраснение и раздражение; Fucogel тонизирует кожу, образует на коже защитную пленку, проницаемую для воздуха, что обеспечивает длительное увлажнение, восстанавливает микробиом; Phytofoam - растительный комплекс из трех компонентов, мягко очищает кожу, не нарушая ее барьерные функции.","professional-cosmetics","","https://res.cloudinary.com/dpxc9qbkc/image/upload/c_limit,f_auto,q_auto:good,w_1200/v1769362059/pro-cosmetics/products/jnjfqebugsg4wo4mndn1.jpg","https://www.procosmetics.kz/shop/gel-dlya-umyvaniya-s-aminokislotami-shelka","","","","","","CANONICAL_DISCOVERY_ONLY_NO_PRICE_OR_STOCK"
"procosmetics-cb461b50dddf333d","Диффузор Vanilla & Tonka AROMATHERAPY","","","","","","Диффузор Vanilla & Tonka представляет собой ароматический продукт в виде флакона с ароматическим составом и фибровыми палочками для распределения запаха. Объём флакона составляет 50 мл. Средство выпускается под брендом Angiopharm. Способ применения Извлеките диффузор из упаковки и снимите крышку. Поместите в флакон фибровые палочки, расправьте их веером. Начните с трёх палочек, при необходимости увеличьте их количество до пяти. Размещайте диффузор на уровне глаз в зоне с хорошей вентиляцией. Оценить аромат можно через 1-2 суток. Для усиления запаха переворачивайте палочки каждые 10-15 дней. Рекомендуется устанавливать изделие в местах, недоступных детям и животным, а также подальше от источников тепла и огня.","professional-cosmetics","","https://res.cloudinary.com/dpxc9qbkc/image/upload/c_limit,f_auto,q_auto:good,w_1200/v1785349978/pro-cosmetics/products/enriched/xmkovsnwoqx48tzypqfs.jpg","https://www.procosmetics.kz/shop/angiopharm-diffuzor-vanilla-tonka-aromatherapy-50","","","","","","CANONICAL_DISCOVERY_ONLY_NO_PRICE_OR_STOCK"
"procosmetics-28d6ca7fe144bfce","Увлажняющий блеск для губ ПРОЗРАЧНЫЙ ГЛЯНЕЦ","","","","","","Увлажняющий блеск для губ представляет собой прозрачное средство с глянцевым эффектом, предназначенное для нанесения на губы. Выпускается в объёме 10 мл. Способ применения Наносите блеск с помощью аппликатора, двигаясь от центра губ к уголкам. При необходимости допускается повторное нанесение. Средство подходит для наслоения и может использоваться поверх контура для губ. Для хранения рекомендуется температура от +5 °C до +25 °C.","professional-cosmetics","","https://res.cloudinary.com/dpxc9qbkc/image/upload/c_limit,f_auto,q_auto:good,w_1200/v1785089495/pro-cosmetics/products/enriched/jvxierbufoosnzstdwff.jpg","https://www.procosmetics.kz/shop/angiopharm-uvlazhnyayuschiy-blesk-dlya-gub-prozrachnyy-glyanets-10","","","","","","CANONICAL_DISCOVERY_ONLY_NO_PRICE_OR_STOCK"
"procosmetics-48e9970ef49b8d2f","крем","","","","","","рпррпрпрпр","professional-cosmetics","","/seed/cleanser.jpg","https://www.procosmetics.kz/shop/krem","","","","","","CANONICAL_DISCOVERY_ONLY_NO_PRICE_OR_STOCK"
"procosmetics-0476b36037d3d3d9","СЕБОРЕГУЛИРУЮЩАЯ МАСКА ДЛЯ ЛИЦА","","","","","","Невысыхающая каолиновая маска абсорбирует избыток себума, сужает и очищает поры, обладает противовоспалительными, антисептическими и бактерицидными свойствами, усиливает и увлажняет кожу, укрепляет кожный барьер, отшелушивает тонус кожи, стимулирует генерацию верхних клеток и выработку слоя коллагена, определяет клеточное дыхание, выводит шлаки и токсины, активирует лимфодренажным эффектом.","professional-cosmetics","","https://res.cloudinary.com/dpxc9qbkc/image/upload/c_limit,f_auto,q_auto:good,w_1200/v1769453187/pro-cosmetics/products/oritwuzjokjgtykd3mhp.jpg","https://www.procosmetics.kz/shop/seboreguliruyuschaya-maska-dlya-litsa","","","","","","CANONICAL_DISCOVERY_ONLY_NO_PRICE_OR_STOCK"
