priority,supplierKey,supplierName,website,sourceUrl,verificationStatus,brandCount,brands,categories,catalogSourceType,nextAction,requiredEvidence
"P1","ucg-kz","UCG / Aesthetics Group","https://ucg.kz/","https://ucg.kz/brendy/","SELF_CLAIMED","10","Teoxane; Laennec; Regenyal; Ial-System; NEWSHA; BioRePeelCl3; Hamilton; Gehwol; Payot; Mansard","face-care; professional-cosmetics; spa-products","WEB_OR_XLSX_REQUIRED","Запросить BIN, прайс XLSX/CSV и подтверждение полномочий по брендам","BIN; регистрационные документы; договор/ЭЦП; склад; источник каталога; лицензии/регистрационные документы на регулируемые товары"
"P1","proff-kz","PROФФ-KZ","https://www.proff.kz/","https://www.proff.kz/brendi","SELF_CLAIMED","9","ESTEL; EPICA; PRODIVA; MORGAN'S; LAVISH; GENEVIE PRO; DEPILTOUCH; ЧИСТОВЬЕ; АҚҚУ","hair-care; professional-cosmetics; nail-products; disposables","WEB_OR_XLSX_REQUIRED","Запросить BIN, прайс XLSX/CSV и подтверждение полномочий по брендам","BIN; регистрационные документы; договор/ЭЦП; склад; источник каталога; лицензии/регистрационные документы на регулируемые товары"
"P1","vlaekan-kz","VLAEKAN","https://vlaekan.kz/","https://vlaekan.kz/brands/","SELF_CLAIMED","9","BABOR; JUST; COSMEDIX; Comfort Zone; Skin Regimen; Cantabria Labs; Rausch; Callegari; Little Butterfly London","face-care; professional-cosmetics; spa-products","WEB_OR_XLSX_REQUIRED","Запросить BIN, прайс XLSX/CSV и подтверждение полномочий по брендам","BIN; регистрационные документы; договор/ЭЦП; склад; источник каталога; лицензии/регистрационные документы на регулируемые товары"
"P1","futora-kz","Futora","https://wahlpro.kz/","https://wahlpro.kz/","SELF_CLAIMED","8","Wahl; Makeup Atelier; Nishman; Nishlady; ProRapid; Derby; Starmaxx; Technodry","hair-care; salon-equipment; beauty-tools","WEB_OR_XLSX_REQUIRED","Запросить BIN, прайс XLSX/CSV и подтверждение полномочий по брендам","BIN; регистрационные документы; договор/ЭЦП; склад; источник каталога; лицензии/регистрационные документы на регулируемые товары"
"P1","beeyoung-kz","Beeyoung","https://beeyoung.kz/","https://beeyoung.kz/","SELF_CLAIMED","4","Isov; Storyderm; Deig; Evasion","face-care; professional-cosmetics","WEB_OR_XLSX_REQUIRED","Запросить BIN, прайс XLSX/CSV и подтверждение полномочий по брендам","BIN; регистрационные документы; договор/ЭЦП; склад; источник каталога; лицензии/регистрационные документы на регулируемые товары"
"P1","labeauty-kz","LaBeauty","https://labeauty.kz/","https://labeauty.kz/ru/company","SELF_CLAIMED","2","AnillO; Margy's Monte Carlo","face-care; professional-cosmetics; spa-products","WEB_OR_XLSX_REQUIRED","Запросить BIN, прайс XLSX/CSV и подтверждение полномочий по брендам","BIN; регистрационные документы; договор/ЭЦП; склад; источник каталога; лицензии/регистрационные документы на регулируемые товары"
"P1","janssen-kz","Janssen Cosmetics Kazakhstan","https://janssen-cosmetics.kz/","https://janssen-cosmetics.kz/","SELF_CLAIMED","1","Janssen Cosmetics","face-care; professional-cosmetics","XLSX_PDF_REQUIRED","Запросить BIN, прайс XLSX/PDF, склад и подтверждение полномочий по брендам","BIN; регистрационные документы; договор/ЭЦП; склад; источник каталога; лицензии/регистрационные документы на регулируемые товары"
"P1","keune-kz","Keune Kazakhstan / Antara Global","https://keune.kz/","https://keune.kz/","SELF_CLAIMED","1","Keune","hair-care; professional-cosmetics","WEB_OR_XLSX_REQUIRED","Запросить BIN, прайс XLSX/CSV и подтверждение полномочий по брендам","BIN; регистрационные документы; договор/ЭЦП; склад; источник каталога; лицензии/регистрационные документы на регулируемые товары"
"P1","dd-business-kz","DD Business","https://ddup.kz/","https://ddup.kz/about","SELF_CLAIMED","0","","professional-cosmetics; face-care; body-care; salon-equipment","XLSX_PDF_REQUIRED","Запросить BIN, прайс XLSX/PDF, склад и подтверждение полномочий по брендам","BIN; регистрационные документы; договор/ЭЦП; склад; источник каталога; лицензии/регистрационные документы на регулируемые товары"
"P2","aif-cosmetics-kz","AIF Cosmetics","https://aifcosmetic.kz/","https://aifcosmetic.kz/","DISCOVERED","0","","professional-cosmetics; face-care; body-care","WEB_OR_XLSX_REQUIRED","Запросить BIN, прайс XLSX/CSV и подтверждение полномочий по брендам","BIN; регистрационные документы; договор/ЭЦП; склад; источник каталога; лицензии/регистрационные документы на регулируемые товары"
"P2","fox-beauty-house-kz","Fox Beauty House","https://foxbeautyhouse.com/","https://foxbeautyhouse.com/","DISCOVERED","0","","professional-cosmetics; hair-care; nail-products","WEB_OR_XLSX_REQUIRED","Запросить BIN, прайс XLSX/CSV и подтверждение полномочий по брендам","BIN; регистрационные документы; договор/ЭЦП; склад; источник каталога; лицензии/регистрационные документы на регулируемые товары"
"P2","nickol-kz","NICKOL","https://nickol.kz/","https://nickol.kz/","DISCOVERED","0","","professional-cosmetics; face-care; body-care","WEB_OR_XLSX_REQUIRED","Запросить BIN, прайс XLSX/CSV и подтверждение полномочий по брендам","BIN; регистрационные документы; договор/ЭЦП; склад; источник каталога; лицензии/регистрационные документы на регулируемые товары"
