brand,inCatalog,sourceCount,evidenceLevels,sourceTypes,sourceNames,evidenceUrls,nextAction,updatedAt
Винар,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,NORD STOM,https://nordstom.kz/brand,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
ВладМиВа,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,СТОМир,https://stomir.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Гекса,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,NORD STOM,https://nordstom.kz/brand,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Дельтика,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,NORD STOM,https://nordstom.kz/brand,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
ЗАО Бинергия,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,СТОМир,https://stomir.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
КМИЗ,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,NORD STOM,https://nordstom.kz/brand,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Кормед,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,СТОМир,https://stomir.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Линтэкс,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
МедиДез,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Целит,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,NORD STOM,https://nordstom.kz/brand,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Aes,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,СТОМир,https://stomir.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Ajax,NO,1,KZ_MARKET_OBSERVED_REVIEW_REQUIRED,KZ_MARKETPLACE_OR_CLASSIFIEDS,Kazakhstan marketplace observations,https://www.olx.kz/uslugi/dlya-biznesa/oborudovanie/q-%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9-%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Alpha-Bio Tec,NO,1,KZ_OFFICIAL_CLAIM,KZ_BRAND_REPRESENTATIVE,DM Market,https://dental-market.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Amazing White,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,СТОМир,https://stomir.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Anthos,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,Unident Kazakhstan,https://www.unident-online.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
AS-US,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Averon,NO,1,KZ_MARKET_OBSERVED_REVIEW_REQUIRED,KZ_MARKETPLACE_OR_CLASSIFIEDS,Kazakhstan marketplace observations,https://www.olx.kz/uslugi/dlya-biznesa/oborudovanie/q-%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9-%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
BEGO,NO,1,KZ_DISTRIBUTOR_CLAIM,KZ_SPECIALIZED_DISTRIBUTOR,AMDgroup,https://amdgroup.kz/brendy/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
