"supplierKey","supplierName","website","catalogUrl","organization","credential","warehouse","source","import","matching","compliance","eds","offer","price","stock","testOrder","nextAction"
"joseph-company","Joseph Company","https://joseph-company.kz/","https://joseph-company.kz/","PENDING_BIN_AND_LEGAL_DOCUMENTS: Получить БИН, юридическое название и подтверждающие документы","PENDING_SUPPLIER: Выдать приглашение и получить контакт владельца организации","PENDING_SUPPLIER: Получить города, адреса складов и график отгрузки","PUBLIC_SOURCE_DISCOVERED: Подтвердить источник и условия использования каталога","QUEUED: Запустить импорт после получения источника","BLOCKED_BY_SOURCE: Сопоставить SKU и названия с canonical-карточками без создания дублей","BLOCKED_BY_DOCUMENTS: Проверить лицензии, регистрационные документы и признаки медизделий","BLOCKED_BY_CREDENTIALS: Подключить EDS gateway после подтверждения организации","BLOCKED_BY_EDS_AND_AGREEMENT: Создавать offer только после активного договора и ЭЦП","BLOCKED_BY_OFFER: Загрузить цену поставщика после подтверждения offer","BLOCKED_BY_OFFER: Загрузить остаток, склад и срок поставки","BLOCKED_BY_STOCK_AND_PSP: Провести тестовый заказ после договора, остатка и PSP sandbox","Запросить у поставщика БИН, договорные данные и актуальный XLSX/PDF с SKU"
"lira-medical-group","LIRA Medical Group","https://dent-materials.kz/","https://dent-materials.kz/catalog","PENDING_BIN_AND_LEGAL_DOCUMENTS: Получить БИН, юридическое название и подтверждающие документы","PENDING_SUPPLIER: Выдать приглашение и получить контакт владельца организации","PENDING_SUPPLIER: Получить города, адреса складов и график отгрузки","PUBLIC_SOURCE_DISCOVERED: Подтвердить источник и условия использования каталога","QUEUED: Запустить импорт после получения источника","BLOCKED_BY_SOURCE: Сопоставить SKU и названия с canonical-карточками без создания дублей","BLOCKED_BY_DOCUMENTS: Проверить лицензии, регистрационные документы и признаки медизделий","BLOCKED_BY_CREDENTIALS: Подключить EDS gateway после подтверждения организации","BLOCKED_BY_EDS_AND_AGREEMENT: Создавать offer только после активного договора и ЭЦП","BLOCKED_BY_OFFER: Загрузить цену поставщика после подтверждения offer","BLOCKED_BY_OFFER: Загрузить остаток, склад и срок поставки","BLOCKED_BY_STOCK_AND_PSP: Провести тестовый заказ после договора, остатка и PSP sandbox","Запросить у поставщика БИН, договорные данные и актуальный XLSX/PDF с SKU"
"ims","IMS","https://ims.kz/","https://ims.kz/","PENDING_BIN_AND_LEGAL_DOCUMENTS: Получить БИН, юридическое название и подтверждающие документы","PENDING_SUPPLIER: Выдать приглашение и получить контакт владельца организации","PENDING_SUPPLIER: Получить города, адреса складов и график отгрузки","PUBLIC_SOURCE_DISCOVERED: Подтвердить источник и условия использования каталога","QUEUED: Запустить импорт после получения источника","BLOCKED_BY_SOURCE: Сопоставить SKU и названия с canonical-карточками без создания дублей","BLOCKED_BY_DOCUMENTS: Проверить лицензии, регистрационные документы и признаки медизделий","BLOCKED_BY_CREDENTIALS: Подключить EDS gateway после подтверждения организации","BLOCKED_BY_EDS_AND_AGREEMENT: Создавать offer только после активного договора и ЭЦП","BLOCKED_BY_OFFER: Загрузить цену поставщика после подтверждения offer","BLOCKED_BY_OFFER: Загрузить остаток, склад и срок поставки","BLOCKED_BY_STOCK_AND_PSP: Провести тестовый заказ после договора, остатка и PSP sandbox","Запросить у поставщика БИН, договорные данные и актуальный XLSX/PDF с SKU"
"unident","Unident","https://unident.kz/","https://unident.kz/","PENDING_BIN_AND_LEGAL_DOCUMENTS: Получить БИН, юридическое название и подтверждающие документы","PENDING_SUPPLIER: Выдать приглашение и получить контакт владельца организации","PENDING_SUPPLIER: Получить города, адреса складов и график отгрузки","PUBLIC_SOURCE_DISCOVERED: Подтвердить источник и условия использования каталога","QUEUED: Запустить импорт после получения источника","BLOCKED_BY_SOURCE: Сопоставить SKU и названия с canonical-карточками без создания дублей","BLOCKED_BY_DOCUMENTS: Проверить лицензии, регистрационные документы и признаки медизделий","BLOCKED_BY_CREDENTIALS: Подключить EDS gateway после подтверждения организации","BLOCKED_BY_EDS_AND_AGREEMENT: Создавать offer только после активного договора и ЭЦП","BLOCKED_BY_OFFER: Загрузить цену поставщика после подтверждения offer","BLOCKED_BY_OFFER: Загрузить остаток, склад и срок поставки","BLOCKED_BY_STOCK_AND_PSP: Провести тестовый заказ после договора, остатка и PSP sandbox","Запросить у поставщика БИН, договорные данные и актуальный XLSX/PDF с SKU"
"ordamed","Ordamed","https://ordamed.com/kz/","https://ordamed.com/kz/catalog/stomatologiya/","PENDING_BIN_AND_LEGAL_DOCUMENTS: Получить БИН, юридическое название и подтверждающие документы","PENDING_SUPPLIER: Выдать приглашение и получить контакт владельца организации","PENDING_SUPPLIER: Получить города, адреса складов и график отгрузки","PUBLIC_SOURCE_DISCOVERED: Подтвердить источник и условия использования каталога","QUEUED: Запустить импорт после получения источника","BLOCKED_BY_SOURCE: Сопоставить SKU и названия с canonical-карточками без создания дублей","BLOCKED_BY_DOCUMENTS: Проверить лицензии, регистрационные документы и признаки медизделий","BLOCKED_BY_CREDENTIALS: Подключить EDS gateway после подтверждения организации","BLOCKED_BY_EDS_AND_AGREEMENT: Создавать offer только после активного договора и ЭЦП","BLOCKED_BY_OFFER: Загрузить цену поставщика после подтверждения offer","BLOCKED_BY_OFFER: Загрузить остаток, склад и срок поставки","BLOCKED_BY_STOCK_AND_PSP: Провести тестовый заказ после договора, остатка и PSP sandbox","Запросить у поставщика БИН, договорные данные и актуальный XLSX/PDF с SKU"
"kulimsnab","KulimSnab","https://kulimsnab.kz/","https://kulimsnab.kz/","PENDING_BIN_AND_LEGAL_DOCUMENTS: Получить БИН, юридическое название и подтверждающие документы","PENDING_SUPPLIER: Выдать приглашение и получить контакт владельца организации","PENDING_SUPPLIER: Получить города, адреса складов и график отгрузки","PUBLIC_SOURCE_DISCOVERED: Подтвердить источник и условия использования каталога","QUEUED: Запустить импорт после получения источника","BLOCKED_BY_SOURCE: Сопоставить SKU и названия с canonical-карточками без создания дублей","BLOCKED_BY_DOCUMENTS: Проверить лицензии, регистрационные документы и признаки медизделий","BLOCKED_BY_CREDENTIALS: Подключить EDS gateway после подтверждения организации","BLOCKED_BY_EDS_AND_AGREEMENT: Создавать offer только после активного договора и ЭЦП","BLOCKED_BY_OFFER: Загрузить цену поставщика после подтверждения offer","BLOCKED_BY_OFFER: Загрузить остаток, склад и срок поставки","BLOCKED_BY_STOCK_AND_PSP: Провести тестовый заказ после договора, остатка и PSP sandbox","Запросить у поставщика БИН, договорные данные и актуальный XLSX/PDF с SKU"
"dentalshop-kazakhstan","DentalShop Kazakhstan","https://dentalshopkazakhstan.com/","https://dentalshopkazakhstan.com/","PENDING_BIN_AND_LEGAL_DOCUMENTS: Получить БИН, юридическое название и подтверждающие документы","PENDING_SUPPLIER: Выдать приглашение и получить контакт владельца организации","PENDING_SUPPLIER: Получить города, адреса складов и график отгрузки","PUBLIC_SOURCE_DISCOVERED: Подтвердить источник и условия использования каталога","QUEUED: Запустить импорт после получения источника","BLOCKED_BY_SOURCE: Сопоставить SKU и названия с canonical-карточками без создания дублей","BLOCKED_BY_DOCUMENTS: Проверить лицензии, регистрационные документы и признаки медизделий","BLOCKED_BY_CREDENTIALS: Подключить EDS gateway после подтверждения организации","BLOCKED_BY_EDS_AND_AGREEMENT: Создавать offer только после активного договора и ЭЦП","BLOCKED_BY_OFFER: Загрузить цену поставщика после подтверждения offer","BLOCKED_BY_OFFER: Загрузить остаток, склад и срок поставки","BLOCKED_BY_STOCK_AND_PSP: Провести тестовый заказ после договора, остатка и PSP sandbox","Запросить у поставщика БИН, договорные данные и актуальный XLSX/PDF с SKU"
"stomtech","Stomtech","https://stomtech.kz/","https://stomtech.kz/","PENDING_BIN_AND_LEGAL_DOCUMENTS: Получить БИН, юридическое название и подтверждающие документы","PENDING_SUPPLIER: Выдать приглашение и получить контакт владельца организации","PENDING_SUPPLIER: Получить города, адреса складов и график отгрузки","PUBLIC_SOURCE_DISCOVERED: Подтвердить источник и условия использования каталога","QUEUED: Запустить импорт после получения источника","BLOCKED_BY_SOURCE: Сопоставить SKU и названия с canonical-карточками без создания дублей","BLOCKED_BY_DOCUMENTS: Проверить лицензии, регистрационные документы и признаки медизделий","BLOCKED_BY_CREDENTIALS: Подключить EDS gateway после подтверждения организации","BLOCKED_BY_EDS_AND_AGREEMENT: Создавать offer только после активного договора и ЭЦП","BLOCKED_BY_OFFER: Загрузить цену поставщика после подтверждения offer","BLOCKED_BY_OFFER: Загрузить остаток, склад и срок поставки","BLOCKED_BY_STOCK_AND_PSP: Провести тестовый заказ после договора, остатка и PSP sandbox","Запросить у поставщика БИН, договорные данные и актуальный XLSX/PDF с SKU"
"dento-kz","Dento.kz","https://dento.kz/","https://dento.kz/","PENDING_BIN_AND_LEGAL_DOCUMENTS: Получить БИН, юридическое название и подтверждающие документы","PENDING_SUPPLIER: Выдать приглашение и получить контакт владельца организации","PENDING_SUPPLIER: Получить города, адреса складов и график отгрузки","PUBLIC_SOURCE_DISCOVERED: Подтвердить источник и условия использования каталога","QUEUED: Запустить импорт после получения источника","BLOCKED_BY_SOURCE: Сопоставить SKU и названия с canonical-карточками без создания дублей","BLOCKED_BY_DOCUMENTS: Проверить лицензии, регистрационные документы и признаки медизделий","BLOCKED_BY_CREDENTIALS: Подключить EDS gateway после подтверждения организации","BLOCKED_BY_EDS_AND_AGREEMENT: Создавать offer только после активного договора и ЭЦП","BLOCKED_BY_OFFER: Загрузить цену поставщика после подтверждения offer","BLOCKED_BY_OFFER: Загрузить остаток, склад и срок поставки","BLOCKED_BY_STOCK_AND_PSP: Провести тестовый заказ после договора, остатка и PSP sandbox","Запросить у поставщика БИН, договорные данные и актуальный XLSX/PDF с SKU"
"algami","ALGAMI","https://algami.kz/","https://algami.kz/","PENDING_BIN_AND_LEGAL_DOCUMENTS: Получить БИН, юридическое название и подтверждающие документы","PENDING_SUPPLIER: Выдать приглашение и получить контакт владельца организации","PENDING_SUPPLIER: Получить города, адреса складов и график отгрузки","PUBLIC_SOURCE_DISCOVERED: Подтвердить источник и условия использования каталога","QUEUED: Запустить импорт после получения источника","BLOCKED_BY_SOURCE: Сопоставить SKU и названия с canonical-карточками без создания дублей","BLOCKED_BY_DOCUMENTS: Проверить лицензии, регистрационные документы и признаки медизделий","BLOCKED_BY_CREDENTIALS: Подключить EDS gateway после подтверждения организации","BLOCKED_BY_EDS_AND_AGREEMENT: Создавать offer только после активного договора и ЭЦП","BLOCKED_BY_OFFER: Загрузить цену поставщика после подтверждения offer","BLOCKED_BY_OFFER: Загрузить остаток, склад и срок поставки","BLOCKED_BY_STOCK_AND_PSP: Провести тестовый заказ после договора, остатка и PSP sandbox","Запросить у поставщика БИН, договорные данные и актуальный XLSX/PDF с SKU"
"stom-partner","Stom Partner","https://stompartner.kz/","https://stompartner.kz/","PENDING_BIN_AND_LEGAL_DOCUMENTS: Получить БИН, юридическое название и подтверждающие документы","PENDING_SUPPLIER: Выдать приглашение и получить контакт владельца организации","PENDING_SUPPLIER: Получить города, адреса складов и график отгрузки","PUBLIC_SOURCE_DISCOVERED: Подтвердить источник и условия использования каталога","QUEUED: Запустить импорт после получения источника","BLOCKED_BY_SOURCE: Сопоставить SKU и названия с canonical-карточками без создания дублей","BLOCKED_BY_DOCUMENTS: Проверить лицензии, регистрационные документы и признаки медизделий","BLOCKED_BY_CREDENTIALS: Подключить EDS gateway после подтверждения организации","BLOCKED_BY_EDS_AND_AGREEMENT: Создавать offer только после активного договора и ЭЦП","BLOCKED_BY_OFFER: Загрузить цену поставщика после подтверждения offer","BLOCKED_BY_OFFER: Загрузить остаток, склад и срок поставки","BLOCKED_BY_STOCK_AND_PSP: Провести тестовый заказ после договора, остатка и PSP sandbox","Запросить у поставщика БИН, договорные данные и актуальный XLSX/PDF с SKU"
"все-для-стоматологии","Все Для Стоматологии","https://dentmart.kz/","https://dentmart.kz/","PENDING_BIN_AND_LEGAL_DOCUMENTS: Получить БИН, юридическое название и подтверждающие документы","PENDING_SUPPLIER: Выдать приглашение и получить контакт владельца организации","PENDING_SUPPLIER: Получить города, адреса складов и график отгрузки","PUBLIC_SOURCE_DISCOVERED: Подтвердить источник и условия использования каталога","QUEUED: Запустить импорт после получения источника","BLOCKED_BY_SOURCE: Сопоставить SKU и названия с canonical-карточками без создания дублей","BLOCKED_BY_DOCUMENTS: Проверить лицензии, регистрационные документы и признаки медизделий","BLOCKED_BY_CREDENTIALS: Подключить EDS gateway после подтверждения организации","BLOCKED_BY_EDS_AND_AGREEMENT: Создавать offer только после активного договора и ЭЦП","BLOCKED_BY_OFFER: Загрузить цену поставщика после подтверждения offer","BLOCKED_BY_OFFER: Загрузить остаток, склад и срок поставки","BLOCKED_BY_STOCK_AND_PSP: Провести тестовый заказ после договора, остатка и PSP sandbox","Запросить у поставщика БИН, договорные данные и актуальный XLSX/PDF с SKU"
"nsk-dental","NSK-Dental","https://nsk-dental.kz/","https://nsk-dental.kz/","PENDING_BIN_AND_LEGAL_DOCUMENTS: Получить БИН, юридическое название и подтверждающие документы","PENDING_SUPPLIER: Выдать приглашение и получить контакт владельца организации","PENDING_SUPPLIER: Получить города, адреса складов и график отгрузки","PUBLIC_SOURCE_DISCOVERED: Подтвердить источник и условия использования каталога","QUEUED: Запустить импорт после получения источника","BLOCKED_BY_SOURCE: Сопоставить SKU и названия с canonical-карточками без создания дублей","BLOCKED_BY_DOCUMENTS: Проверить лицензии, регистрационные документы и признаки медизделий","BLOCKED_BY_CREDENTIALS: Подключить EDS gateway после подтверждения организации","BLOCKED_BY_EDS_AND_AGREEMENT: Создавать offer только после активного договора и ЭЦП","BLOCKED_BY_OFFER: Загрузить цену поставщика после подтверждения offer","BLOCKED_BY_OFFER: Загрузить остаток, склад и срок поставки","BLOCKED_BY_STOCK_AND_PSP: Провести тестовый заказ после договора, остатка и PSP sandbox","Запросить у поставщика БИН, договорные данные и актуальный XLSX/PDF с SKU"
