"canonicalProductId","canonicalVariantId","canonicalProductName","canonicalBrand","canonicalManufacturer","canonicalCategory","canonicalSourceUrl","sourceEvidenceStatus","supplierSku","supplierProductName","price","currency","stock","warehouse","leadTimeDays","availableFrom","licenseDocumentUrl","rowAction"
"public-672f08d61dcfb818fd91a966","public-672f08d61dcfb818fd91a966-variant-default","Автоклав 18 л","","","","https://a4d.kz/content/avtoklav-18-l","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-798ae697d8e5ca07047c41d8","public-798ae697d8e5ca07047c41d8-variant-default","Автоклавируемые насадки для защиты от острых края на всасывающих трубках","","","","https://a4d.kz/content/avtoklaviruemye-nasadki-dlya-zashchity-ot-ostryh-kraya-na-vsasyvayushchih-trubkah","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-1cb4e7b4fa9a92ad7b124464","public-1cb4e7b4fa9a92ad7b124464-variant-default","Автоклавируемый губной кольцевой ретрактор взрослый","","","","https://a4d.kz/content/avtoklaviruemyy-gubnoy-kolcevoy-retraktor-vzroslyy","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-140585e33d367aa0ecbfbd2b","public-140585e33d367aa0ecbfbd2b-variant-default","Автоклавируемый губной кольцевой ретрактор детский","","","","https://a4d.kz/content/avtoklaviruemyy-gubnoy-kolcevoy-retraktor-detskiy","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-e57c8647c484cf058a7326e1","public-e57c8647c484cf058a7326e1-variant-default","Автоклавируемый оттягивающий ретрактор (взрослый)","","","","https://a4d.kz/content/avtoklaviruemyy-ottyagivayushchiy-retraktor-vzroslyy","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-a790353bfa1c27f08b372947","public-a790353bfa1c27f08b372947-variant-default","Автоклавируемый оттягивающий ретрактор (детский)","","","","https://a4d.kz/content/avtoklaviruemyy-ottyagivayushchiy-retraktor-detskiy","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-8caef3b41a415066c8ecec2d","public-8caef3b41a415066c8ecec2d-variant-default","Автоклавируемый ретрактор сухое поле","","","","https://a4d.kz/content/avtoklaviruemyy-retraktor-suhoe-pole","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-800ab0e22ffdfd1effa7cf8f","public-800ab0e22ffdfd1effa7cf8f-variant-default","Автоклавируемый щечный ретрактор взрослый","","","","https://a4d.kz/content/avtoklaviruemyy-shchechnyy-retraktor-vzroslyy","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-b0da6acad0f4587bb03180bc","public-b0da6acad0f4587bb03180bc-variant-default","Автоклавируемый щечный ретрактор детский","","","","https://a4d.kz/content/avtoklaviruemyy-shchechnyy-retraktor-detskiy","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-020212c478926c2d127c2758","public-020212c478926c2d127c2758-variant-default","Автоклавируемый щечный ретрактор подростковый","","","","https://a4d.kz/content/avtoklaviruemyy-shchechnyy-retraktor-podrostkovyy","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-2e8a0d05285aefaf578889b5","public-2e8a0d05285aefaf578889b5-variant-default","Адгезив 7-го поколения","","","","https://a4d.kz/content/adgeziv-7-go-pokoleniya","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-4ed0e1e433ea24ebb7336f97","public-4ed0e1e433ea24ebb7336f97-variant-default","Алмазные боры на прямой наконечник","","","","https://a4d.kz/content/almaznye-bory-na-pryamoy-nakonechnik","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-97f16284028a21f49a02e4a8","public-97f16284028a21f49a02e4a8-variant-default","Анкерные штифты набор120 шт","","","","https://a4d.kz/content/ankernye-shtifty-nabor120-sht","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-589d7b9791b914303d289f01","public-589d7b9791b914303d289f01-variant-default","Анкерные штифты отвертка+ключ размеры 0,9/1,0/1,2/1,4/1,6/1,8","","","","https://a4d.kz/content/ankernye-shtifty-otvertkaklyuch-razmery-091012141618","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-f08a702e78e3354ebb4feb3a","public-f08a702e78e3354ebb4feb3a-variant-default","Аны-ком Flow Kit раинбов","","","","https://a4d.kz/content/any-com-flow-kit-rainbow","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-48ea6fa8513545202d112a0b","public-48ea6fa8513545202d112a0b-variant-default","Аны-ком Kit универсал","","","","https://a4d.kz/content/any-com-kit-universal","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-4ccf9e3c134ea1257caf5c97","public-4ccf9e3c134ea1257caf5c97-variant-default","Аны-пасте","","","","https://a4d.kz/content/any-paste","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-6ac340acc9ff965da3420e2d","public-6ac340acc9ff965da3420e2d-variant-default","Аны-сеал","","","","https://a4d.kz/content/any-seal","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-151142b0948f03c0439817a2","public-151142b0948f03c0439817a2-variant-default","Аны-флу гел","","","","https://a4d.kz/content/any-flu-gel","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-4abb5fe89a02a9cfb522fe4e","public-4abb5fe89a02a9cfb522fe4e-variant-default","Аппарат для дублированияAx-2006 режимы высокого и низкого нагрева для плавления и смешивания дублирующего геля","","","","https://a4d.kz/content/apparat-dlya-dublirovaniyaax-2006-rezhimy-vysokogo-i-nizkogo-nagreva-dlya-plavleniya-i","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-0f6d168ec36501e6a8122acf","public-0f6d168ec36501e6a8122acf-variant-default","Аппарат для изготовления капп","","","","https://a4d.kz/content/apparat-dlya-izgotovleniya-kapp","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-d47069d9676a0da59e97cfb5","public-d47069d9676a0da59e97cfb5-variant-default","Аппарат для изготовления нейлоновых протезов","","","","https://a4d.kz/content/apparat-dlya-izgotovleniya-neylonovyh-protezov","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-03705c41446c18c1abcffe31","public-03705c41446c18c1abcffe31-variant-default","Аппарат для изготовления нейлоновых протезов AX-YD картридж с материалом разогревается и пакуется в кювету с моделью ручным п рессом.","","","","https://a4d.kz/content/apparat-dlya-izgotovleniya-neylonovyh-protezov-ax-yd-kartridzh-s-materialom-razogrevaetsya-i","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-356bd628786b817411825081","public-356bd628786b817411825081-variant-default","Аппарат для сепарации гипсовых моделей EM-DC2","","","","https://a4d.kz/content/apparat-dlya-separacii-gipsovyh-modeley-em-dc2","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-aa657757cecee32b28da9826","public-aa657757cecee32b28da9826-variant-default","Аппарат для смазки наконечников","","","","https://a4d.kz/content/apparat-dlya-smazki-nakonechnikov","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-8448f9975180481a078793ab","public-8448f9975180481a078793ab-variant-default","Аппарат для смазки наконечников с редуктором","","","","https://a4d.kz/content/apparat-dlya-smazki-nakonechnikov-s-reduktorom","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-ef2f558823c4393f7484785d","public-ef2f558823c4393f7484785d-variant-default","Аппарат сварочный Аргон AX-AWM1","","","","https://a4d.kz/content/apparat-svarochnyy-argon-ax-awm1","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
