"canonicalProductId","canonicalVariantId","canonicalProductName","canonicalBrand","canonicalManufacturer","canonicalCategory","canonicalSourceUrl","sourceEvidenceStatus","supplierSku","supplierProductName","price","currency","stock","warehouse","leadTimeDays","availableFrom","licenseDocumentUrl","rowAction"
"public-5af455faab02a546edc2b442","public-5af455faab02a546edc2b442-variant-default","Быстросъёмное соединение Sirona Quick Coupling R","Dentsply Sirona","Dentsply Sirona","","https://kazdentservice.kz/product_list","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-b1bb446bf8152da5bee17269","public-b1bb446bf8152da5bee17269-variant-default","Интераоральный сканер Primescan Dentsply Sirona","Dentsply Sirona","Dentsply Sirona","","https://kazdentservice.kz/product_list","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-ec92d2ad0c6ed8a70229cc18","public-ec92d2ad0c6ed8a70229cc18-variant-default","Компрессор стоматологический TORNADO2 с мембранным осушителем","TORNADO","TORNADO","","https://kazdentservice.kz/product_list","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-4a2af47ab90421009ef15cf4","public-4a2af47ab90421009ef15cf4-variant-default","Наконечник турбинный Sirona T2 Boost S","Dentsply Sirona","Dentsply Sirona","","https://kazdentservice.kz/product_list","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-3da6e65c78565dc95c7d67ce","public-3da6e65c78565dc95c7d67ce-variant-default","Наконечник Sirona T2 Line A 200 L","Dentsply Sirona","Dentsply Sirona","","https://kazdentservice.kz/product_list","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-1ad1412f3b4b8933453bce4a","public-1ad1412f3b4b8933453bce4a-variant-default","Наконечник Sirona T2 Line A 40 L","Dentsply Sirona","Dentsply Sirona","","https://kazdentservice.kz/product_list","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-64b0fcfe95c28462dd252e89","public-64b0fcfe95c28462dd252e89-variant-default","Наконечник Sirona T2 LINE AH 40 L","Dentsply Sirona","Dentsply Sirona","","https://kazdentservice.kz/product_list","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-619eb67e08536e97ea7332b3","public-619eb67e08536e97ea7332b3-variant-default","Насадка для скалера Sirona SiroSonic 3L","Dentsply Sirona","Dentsply Sirona","","https://kazdentservice.kz/product_list","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-af2d7f164f7270aeaa56bd56","public-af2d7f164f7270aeaa56bd56-variant-default","Насадка для скалера Sirona SiroSonic 4L","Dentsply Sirona","Dentsply Sirona","","https://kazdentservice.kz/product_list","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-a53ad26c9742b48476eafe76","public-a53ad26c9742b48476eafe76-variant-default","Насадка для скалера SiroSonic SiroPerio PE 1, 1 шт","Dentsply Sirona","Dentsply Sirona","","https://kazdentservice.kz/product_list","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
