"canonicalProductId","canonicalVariantId","canonicalProductName","canonicalBrand","canonicalManufacturer","canonicalCategory","canonicalSourceUrl","sourceEvidenceStatus","supplierSku","supplierProductName","price","currency","stock","warehouse","leadTimeDays","availableFrom","licenseDocumentUrl","rowAction"
"approved-026a8d9361e70dccf214dc61","approved-026a8d9361e70dccf214dc61-variant-683c14a00a1eb09df57d67ca","Абсорбирующие бумажные штифты Gapadent","Gapadent","Tianjin Gapadent Co., Ltd.","","https://stomir.kz/catalog/rashodnye_materialy_i_akssesuary_terapevticheskie/170216043611","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"approved-026a8d9361e70dccf214dc61","approved-026a8d9361e70dccf214dc61-variant-023e720d48bea70b06090ba1","Абсорбирующие бумажные штифты Gapadent","Gapadent","Tianjin Gapadent Co., Ltd.","","https://stomir.kz/catalog/rashodnye_materialy_i_akssesuary_terapevticheskie/170216043611","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"approved-026a8d9361e70dccf214dc61","approved-026a8d9361e70dccf214dc61-variant-2b8cd071f2b3fa01889b2a89","Абсорбирующие бумажные штифты Gapadent","Gapadent","Tianjin Gapadent Co., Ltd.","","https://stomir.kz/catalog/rashodnye_materialy_i_akssesuary_terapevticheskie/170216043611","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"approved-026a8d9361e70dccf214dc61","approved-026a8d9361e70dccf214dc61-variant-4148930cb540897a5f4a5474","Абсорбирующие бумажные штифты Gapadent","Gapadent","Tianjin Gapadent Co., Ltd.","","https://stomir.kz/catalog/rashodnye_materialy_i_akssesuary_terapevticheskie/170216043611","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"approved-026a8d9361e70dccf214dc61","approved-026a8d9361e70dccf214dc61-variant-e1a4f1a06a769bea4b2b1a10","Абсорбирующие бумажные штифты Gapadent","Gapadent","Tianjin Gapadent Co., Ltd.","","https://stomir.kz/catalog/rashodnye_materialy_i_akssesuary_terapevticheskie/170216043611","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"approved-026a8d9361e70dccf214dc61","approved-026a8d9361e70dccf214dc61-variant-e74a653d94d29b6df0bb3cd0","Абсорбирующие бумажные штифты Gapadent","Gapadent","Tianjin Gapadent Co., Ltd.","","https://stomir.kz/catalog/rashodnye_materialy_i_akssesuary_terapevticheskie/170216043611","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-366fe51b2e170778314a8bd5","public-366fe51b2e170778314a8bd5-variant-default","Адгезив светового отверждения CharmBond","DentKist","","","https://stomir.kz/","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"approved-70d368b872dabe2098760c43","approved-70d368b872dabe2098760c43-variant-5c838cf922eea1d621f93199","Брекеты керамические","Aes","Aes","","https://stomir.kz/catalog/breket-sistema/170223023330","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-6d25a5fb6bf60dd18bec89ea","public-6d25a5fb6bf60dd18bec89ea-variant-default","Брекеты металлические","IMD","","","https://stomir.kz/","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-a86d50ba7ec257f64c212c40","public-a86d50ba7ec257f64c212c40-variant-default","Брекеты сапфировые","","","","https://stomir.kz/","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-6cd0323d869343d1d1e6d8b1","public-6cd0323d869343d1d1e6d8b1-variant-default","Дуга облицовочная NITI","NIC","","","https://stomir.kz/","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-a68096afa2b7a7114bb7eba6","public-a68096afa2b7a7114bb7eba6-variant-default","Дуга облицовочная SS","NIC","","","https://stomir.kz/","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-d03b79bf3d2f6e624075927c","public-d03b79bf3d2f6e624075927c-variant-default","Дуга CU-Alloy","IMD","","","https://stomir.kz/","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-9fe9031a0176051267006ce0","public-9fe9031a0176051267006ce0-variant-default","Дуга SS круглая","IMD","","","https://stomir.kz/","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-1501c7be9d3d6ce23911413b","public-1501c7be9d3d6ce23911413b-variant-default","Дуга SS прямоугольная","IMD","","","https://stomir.kz/","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-25081a14e656d40e1ea09cbe","public-25081a14e656d40e1ea09cbe-variant-default","Дуги NITI Super Elastic","IMD","","","https://stomir.kz/","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-58f9957f23128bc051c68572","public-58f9957f23128bc051c68572-variant-default","Дуги NITI Super Elastic Square","IMD","","","https://stomir.kz/","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
"public-e49be21a2a7b0fa15ef077d9","public-e49be21a2a7b0fa15ef077d9-variant-default","Дуги RCS Wires CKB-147","IMD","","","https://stomir.kz/","PUBLIC_SOURCE_REQUIRES_SUPPLIER_CONFIRMATION","","","","KZT","","","","","","CONFIRM_AND_FILL_COMMERCIAL_DATA"
